Player ,09/11vs. SEA,09/18vs. NWE,09/25vs. CLE,09/29vs. CIN,10/09vs. TEN,10/16vs. PIT,10/23vs. BUF,11/06vs. NYJ,11/13vs. SDG,11/20vs. LAR,11/27vs. SFO,12/04vs. BAL,12/11vs. ARI,12/17vs. NYJ,12/24vs. BUF,01/01vs. NWE,01/08vs. PIT,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Mike Pouncey,O,O,O,O,Q,,,,,IR,IR,IR,IR,IR,IR,IR,IR,51.0,27.0,c,5.0,5.0,298.0,2020-06-05,Florida,1989-07-24,5,2.0,Miami Dolphins / 1st / 15th pick / 2011,10025000.0
Bacarri Rambo,,,,,,,,,,,,,,,,,Q,30.0,26.0,fs,9.0,5.0,211.0,2020-06-01,Georgia,1990-06-27,3,2.0,Washington Redskins / 6th / 191st pick / 2013,675000.0
Anthony Steen,,,,D,Q,Q,,,Q,Q,,,Q,Q,,,,65.0,26.0,C,15.0,7.0,314.0,2020-06-03,Alabama,1990-05-09,2,3.0,,525000.0
Kenny Stills,,,,,,,,,Q,Q,Q,,,,,,,10.0,24.0,WR,16.0,16.0,202.0,2020-06-01,Oklahoma,1992-04-22,3,6.0,New Orleans Saints / 5th / 144th pick / 2013,1671000.0
Ndamukong Suh,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Ryan Tannehill,,,,,,,,,,,,,,O,O,O,O,17.0,28.0,QB,13.0,13.0,207.0,2020-06-04,Texas A&M,1988-07-27,4,10.0,Miami Dolphins / 1st / 8th pick / 2012,11640000.0
Laremy Tunsil,Q,,,,,Q,,Q,,,Q,Q,,,,,,67.0,22.0,LG,14.0,14.0,313.0,2020-06-05,Mississippi,1994-08-02,Rook,6.0,Miami Dolphins / 1st / 13th pick / 2016,2265027.0
Kraig Urbik,,,,,,,,,,,,,Q,,,,Q,60.0,31.0,c,16.0,6.0,323.0,2020-06-05,Wisconsin,1985-09-23,7,3.0,Pittsburgh Steelers / 3rd / 79th pick / 2009,1125000.0
Zach Vigil,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,IR,,,,,,,,,,,,,
Mario Williams,,Q,,,,,,,,Q,Q,,D,Q,Q,Q,,94.0,31.0,rde,13.0,5.0,300.0,2020-06-06,North Carolina St.,1985-01-31,10,3.0,Houston Texans / 1st / 1st pick / 2006,6500000.0
