Player ,09/12vs. WAS,09/18vs. CIN,09/25vs. PHI,10/02vs. KAN,10/09vs. NYJ,10/16vs. MIA,10/23vs. NWE,11/06vs. BAL,11/13vs. DAL,11/20vs. CLE,11/24vs. IND,12/04vs. NYG,12/11vs. BUF,12/18vs. CIN,12/25vs. BAL,01/01vs. CLE,01/08vs. MIA,01/15vs. KAN,01/22vs. NWE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Javon Hargrave,,,,,,,,,,,,,D,,,,,,,79.0,23.0,NT,15.0,13.0,305.0,2020-06-02,South Carolina St.,1993-02-07,Rook,7.0,Pittsburgh Steelers / 3rd / 89th pick / 2016,623314.0
Ryan Harris,,,,,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
James Harrison,,,,,,,,,,,,,,,,,,,Q,92.0,38.0,ROLB,15.0,7.0,242.0,2000-06-01,Kent St.,1978-05-04,14,5.0,,1500000.0
Jerald Hawkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cameron Heyward,,,,,,O,O,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,97.0,27.0,LDE,7.0,7.0,295.0,2020-06-05,Ohio St.,1989-05-06,5,4.0,Pittsburgh Steelers / 1st / 31st pick / 2011,10400000.0
Darrius Heyward-Bey,,,,,,,,,O,O,O,O,O,O,Q,,,,,,,,,,,,,,,,,
Steven Johnson,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cole Manhart,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ricardo Mathews,,,,,,,,,,,,,,,Q,,O,Q,,90.0,29.0,lde,16.0,5.0,294.0,2020-06-03,Cincinnati,1987-07-30,6,3.0,Indianapolis Colts / 7th / 238th pick / 2010,600000.0
Roosevelt Nix,O,O,D,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Roethlisberger,,,,,,,O,Q,,,,,,,,,,,,,,,,,,,,,,,,
Eli Rogers,,,,O,O,,,,,,,,,,,,,,,17.0,24.0,WR,13.0,8.0,187.0,2020-05-10,Louisville,1992-12-23,Rook,6.0,,451666.0
Ryan Shazier,,Q,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,
Shamarko Thomas,,,,,,O,O,,,O,O,,IR,IR,O,IR,IR,IR,IR,,,,,,,,,,,,,
Fitzgerald Toussaint,,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Stephon Tuitt,,,,,,,,,,,,,,,Q,O,,,,91.0,23.0,RDE,14.0,14.0,303.0,2020-06-06,Notre Dame,1993-05-23,2,7.0,Pittsburgh Steelers / 2nd / 46th pick / 2014,1257122.0
Valerian Ume-Ezeoke,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cody Wallace,O,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Markus Wheaton,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
DeAngelo Williams,,,,,,,O,Q,O,O,O,O,Q,,,,,,,,,,,,,,,,,,,
Vince Williams,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
