Player ,09/10vs. DAL,09/18vs. DET,09/24vs. PHI,10/01vs. TAM,10/08vs. LAC,10/15vs. DEN,10/22vs. SEA,11/05vs. LAR,11/12vs. SFO,11/19vs. KAN,11/23vs. WAS,12/03vs. OAK,12/10vs. DAL,12/17vs. PHI,12/24vs. ARI,12/31vs. WAS,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Justin Pugh,,,,,,,,O,,IR,IR,IR,IR,IR,IR,IR,67.0,27.0,RT,8.0,8.0,311.0,2020-06-05,Syracuse,1990-08-15,4,3.0,New York Giants / 1st / 19th pick / 2013,8821000.0
Weston Richburg,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Keenan Robinson,O,O,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Travis Rudolph,,,,,,,,,,,,,Q,Q,,,,,,,,,,,,,,,
Evan Schwan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sterling Shepard,,,,,,O,Q,,,,Q,,Q,,,O,87.0,24.0,WR,11.0,10.0,201.0,2020-05-10,Oklahoma,1993-02-10,1,5.0,New York Giants / 2nd / 40th pick / 2016,720208.0
Kelvin Sheppard,,,,,,,,,,D,Q,,,,,,47.0,29.0,rlb,7.0,6.0,249.0,2020-06-02,LSU,1988-01-02,6,3.0,Buffalo Bills / 3rd / 68th pick / 2011,423529.0
Deontae Skinner,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
J.T. Thomas,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Mykkele Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Andrew Turzilli,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Olivier Vernon,,,,Q,Q,O,O,O,Q,,Q,,,,,,54.0,27.0,RDE,12.0,12.0,262.0,2020-06-02,Miami (FL),1990-10-07,5,6.0,Miami Dolphins / 3rd / 72nd pick / 2012,11750000.0
Chad Wheeler,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
Ishaq Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kerry Wynn,,,,,,,,O,Q,,,,,,,,,,,,,,,,,,,,
