Player ,09/08vs. KAN,09/15vs. HOU,09/19vs. TEN,09/29vs. DEN,10/06vs. CAR,10/13vs. NOR,10/20vs. CIN,10/27vs. NYJ,11/03vs. HOU,11/17vs. IND,11/24vs. TEN,12/01vs. TAM,12/08vs. LAC,12/15vs. OAK,12/22vs. ATL,12/29vs. IND,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Nick O'Leary,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
James O'Shaughnessy,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,80.0,27.0,TE,5.0,5.0,245.0,2020-06-04,Illinois St.,1992-01-14,4,1.0,Kansas City Chiefs / 5th / 173rd pick / 2015,805000.0
Cedric Ogbuehi,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Oliver,O,O,O,O,O,O,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
James Onwualu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jalen Ramsey,,,,Q,O,Q,,,,,,,,,,,,,,,,,,,,,,,
Cam Robinson,D,Q,,,,,,,,,,,,,,,74.0,24.0,LT,14.0,14.0,320.0,2020-06-06,Alabama,1995-10-09,2,7.0,Jacksonville Jaguars / 2nd / 34th pick / 2017,1103015.0
Josh Robinson,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Ryan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,,,,,,,,,,,,,
Marcus Simms,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,
Geoff Swaim,,,,Q,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Thomas,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Michael Walker,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Dede Westbrook,,,,,,,Q,Q,Q,,,,,,,Q,12.0,26.0,WR,15.0,11.0,178.0,2000-06-01,"Blinn College (TX),Oklahoma",1993-11-21,2,5.0,Jacksonville Jaguars / 4th / 110th pick / 2017,645000.0
Leonard Wester,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy Williams,,,,,,,,O,O,,,,,IR,IR,IR,56.0,23.0,LLB,11.0,8.0,226.0,2020-05-11,Murray St.,1996-08-28,Rook,3.0,Jacksonville Jaguars / 3rd / 98th pick / 2019,495000.0
