Player ,09/10vs. SEA,09/17vs. ATL,09/24vs. CIN,09/28vs. CHI,10/08vs. DAL,10/15vs. MIN,10/22vs. NOR,11/06vs. DET,11/12vs. CHI,11/19vs. BAL,11/26vs. PIT,12/03vs. TAM,12/10vs. CLE,12/17vs. CAR,12/23vs. MIN,12/31vs. DET,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Nick Perry,,,D,Q,,,,,,,,,Q,Q,IR,O,53.0,27.0,ROLB,12.0,11.0,265.0,2020-06-03,USC,1990-04-12,5,5.0,Green Bay Packers / 1st / 28th pick / 2012,1300000.0
Damarious Randall,,,,,,,Q,Q,,,,,,,,Q,23.0,25.0,RCB,14.0,12.0,196.0,2020-05-11,Arizona St.,1992-08-29,2,5.0,Green Bay Packers / 1st / 30th pick / 2015,1154612.0
Aaron Rodgers,,,,,,,IR,IR,IR,IR,IR,IR,IR,,IR,IR,12.0,34.0,qb,7.0,7.0,225.0,2020-06-02,"Butte JC (CA),California",1983-12-02,12,7.0,Green Bay Packers / 1st / 24th pick / 2005,12550000.0
Richard Rodgers,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,
Quinten Rollins,,,,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jake Ryan,,,D,,,,,,,,,,,Q,,,47.0,25.0,LILB,15.0,12.0,240.0,2020-06-02,Michigan,1992-02-27,2,6.0,Green Bay Packers / 4th / 129th pick / 2015,615000.0
Beau Sandland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jason Spriggs,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,Q,,IR,78.0,23.0,rt,7.0,5.0,301.0,2020-06-06,Indiana,1994-05-17,1,3.0,Green Bay Packers / 2nd / 48th pick / 2016,677468.0
Lane Taylor,,,,,,,D,Q,,,,,,,,,65.0,28.0,LG,15.0,15.0,324.0,2020-06-03,Oklahoma St.,1989-11-22,4,7.0,,2250000.0
Joe Thomas,,,,,O,O,O,O,Q,,,,,,,,,,,,,,,,,,,,
Herb Waters,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
