Player ,09/08vs. BAL,09/15vs. NWE,09/22vs. DAL,09/29vs. LAC,10/13vs. WAS,10/20vs. BUF,10/28vs. PIT,11/03vs. NYJ,11/10vs. IND,11/17vs. BUF,11/24vs. CLE,12/01vs. PHI,12/08vs. NYJ,12/15vs. NYG,12/22vs. CIN,12/29vs. NWE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Reshad Jones,,O,O,Q,Q,O,O,D,O,Q,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Daniel Kilgore,,Q,,,,O,O,D,Q,,,,,,,,67.0,32.0,C,13.0,13.0,291.0,2020-06-03,Appalachian St.,1987-12-18,8,5.0,San Francisco 49ers / 5th / 163rd pick / 2011,2225000.0
Chris Lammons,,,,,Q,,Q,,,,,,,,,,,,,,,,,,,,,,
Jonathan Ledbetter,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ryan Lewis,,,,,,,,Q,,,,Q,,IR,IR,IR,,,,,,,,,,,,,
Ricardo Louis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bobby McCain,Q,Q,Q,Q,Q,,,,,,IR,IR,IR,IR,IR,IR,28.0,26.0,FS,9.0,8.0,192.0,2020-05-11,Memphis,1993-08-18,4,3.0,Miami Dolphins / 5th / 145th pick / 2015,5600000.0
Raekwon McMillan,,,,,,,,,,Q,,,,,IR,IR,52.0,24.0,LILB,13.0,12.0,242.0,2020-06-02,Ohio St.,1995-11-17,1,4.0,Miami Dolphins / 2nd / 54th pick / 2017,892049.0
Avery Moss,,,,,,O,Q,Q,Q,Q,,,,,,,93.0,25.0,LDE,11.0,8.0,271.0,2020-06-03,Youngstown St.,1994-11-16,2,3.0,New York Giants / 5th / 167th pick / 2017,
Nik Needham,,,,,,,Q,,,,,,,,,,40.0,23.0,RCB,12.0,11.0,193.0,2000-06-01,Texas-El Paso,1996-11-04,Rook,3.0,,
Robert Nkemdiche,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,,,,,,,,,,,,
Kendrick Norton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
DeVante Parker,,,,,,,,,,,,,,Q,,,11.0,26.0,WR,16.0,14.0,216.0,2020-06-03,Louisville,1993-01-20,4,9.0,Miami Dolphins / 1st / 14th pick / 2015,3500000.0
Steven Parker,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Jamal Perry,,,,O,Q,,,,,,,,,,,O,33.0,25.0,db,14.0,6.0,180.0,2020-05-10,Iowa St.,1994-10-23,Rook,2.0,,495000.0
Jason Sanders,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Zach Sieler,,,,,,,,,,,,,O,,Q,Q,,,,,,,,,,,,,
Aqib Talib,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cordrea Tankersley,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,,,
Andrew Van Ginkel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,
Clive Walford,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,
J'Marcus Webb,,,,,,,,Q,,,,,,,,,61.0,31.0,LT,14.0,8.0,320.0,2020-06-07,"Texas,Navarro,West Texas A&M",1988-08-08,9,4.0,Chicago Bears / 7th / 218th pick / 2010,
Ken Webster,,,,,,,,O,O,O,D,Q,,IR,IR,IR,31.0,23.0,lcb,8.0,5.0,202.0,2020-05-11,Mississippi,1996-06-19,Rook,1.0,New England Patriots / 7th / 252nd pick / 2019,
Christian Wilkins,,,,,,,,,,,,,,,,Q,94.0,24.0,RDE,16.0,14.0,315.0,2020-06-04,Clemson,1995-12-20,Rook,5.0,Miami Dolphins / 1st / 13th pick / 2019,495000.0
Preston Williams,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,18.0,22.0,WR,8.0,7.0,218.0,2020-06-05,Colorado St.,1997-03-27,Rook,3.0,,495000.0
Gerald Willis,,,,,,,,,,,,,,O,IR,IR,,,,,,,,,,,,,
Albert Wilson,Q,O,O,Q,Q,,,,,,,,,Q,,,,,,,,,,,,,,,
Jonathan Woodard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
