Player ,09/08vs. DET,09/15vs. BAL,09/22vs. CAR,09/29vs. SEA,10/06vs. CIN,10/13vs. ATL,10/20vs. NYG,10/27vs. NOR,10/31vs. SFO,11/10vs. TAM,11/17vs. SFO,12/01vs. LAR,12/08vs. PIT,12/15vs. CLE,12/22vs. SEA,12/29vs. LAR,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Jordan Hicks,,,,,,,,Q,,,,,,,,,58.0,27.0,RILB,16.0,16.0,236.0,2020-06-01,Texas,1992-06-27,4,7.0,Philadelphia Eagles / 3rd / 84th pick / 2015,2000000.0
Andy Isabella,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
David Johnson,,,,,,Q,Q,Q,Q,,,,,,,,31.0,28.0,RB,13.0,9.0,224.0,2020-06-01,Northern Iowa,1991-12-16,4,5.0,Arizona Cardinals / 3rd / 86th pick / 2015,5700000.0
Chris Jones,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Kerr,,,,,,,Q,,,,Q,,,,,,,,,,,,,,,,,,
Christian Kirk,,,,,O,Q,Q,Q,,,,,,,Q,,13.0,23.0,WR,13.0,13.0,200.0,2020-05-11,Texas A&M,1996-11-18,1,7.0,Arizona Cardinals / 2nd / 47th pick / 2018,747948.0
Andy Lee,,,,Q,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,,
Clinton McDonald,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Joshua Miles,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,
Jordan Mills,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Byron Murphy,,,,,,,,,,,,,Q,,,,33.0,21.0,LCB,16.0,16.0,190.0,2020-05-11,Washington,1998-01-18,Rook,5.0,Arizona Cardinals / 2nd / 33rd pick / 2019,495000.0
Justin Murray,,,,,,,,,Q,Q,Q,,,,,,71.0,26.0,RT,14.0,12.0,315.0,2020-06-05,Cincinnati,1993-04-19,1,7.0,,
Kyler Murray,,,,,,,,,,,,Q,,,,Q,1.0,22.0,QB,16.0,16.0,207.0,2020-05-10,Oklahoma,1997-08-07,Rook,14.0,Arizona Cardinals / 1st / 1st pick / 2019,495000.0
Rees Odhiambo,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Peterson,,,,,,,,,,,,,Q,Q,IR,IR,,,,,,,,,,,,,
Justin Pugh,,,,,Q,,,,,,,,,Q,Q,,67.0,29.0,LG,16.0,16.0,311.0,2020-06-05,Syracuse,1990-08-15,6,9.0,New York Giants / 1st / 19th pick / 2013,5000000.0
Haason Reddick,Q,,,,,Q,,Q,,,,,,,,,43.0,25.0,lilb,16.0,5.0,235.0,2020-06-01,Temple,1994-09-22,2,3.0,Arizona Cardinals / 1st / 13th pick / 2017,1690270.0
Brooks Reed,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Caraun Reid,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Josh Shaw,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
A.Q. Shipley,,,,,,,,,,,,,Q,,,,53.0,33.0,C,16.0,16.0,307.0,2020-06-01,Penn St.,1986-05-22,10,9.0,Pittsburgh Steelers / 7th / 226th pick / 2009,805000.0
Terrell Suggs,,,,,Q,Q,,,,Q,Q,,,,,,56.0,37.0,ROLB,13.0,13.0,265.0,2020-06-03,Arizona St.,1982-10-11,16,5.0,Baltimore Ravens / 1st / 10th pick / 2003,3000000.0
William Sweet,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Pita Taumoepenu,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deionte Thompson,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Jalen Thompson,,,,,,,,,,,,,Q,,,,34.0,21.0,SS,15.0,9.0,190.0,2020-05-11,Washington St.,1998-07-18,Rook,3.0,Arizona Cardinals / 5th / 1st pick / 2019 Supp,495000.0
Brett Toth,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,
Zeke Turner,Q,,Q,,Q,O,Q,Q,,,,,,,,,,,,,,,,,,,,,
Tanner Vallejo,,,,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Joe Walker,,,,,,,,,,,,,,Q,,,59.0,27.0,IL,16.0,11.0,236.0,2020-06-02,Oregon,1992-12-11,2,4.0,Philadelphia Eagles / 7th / 251st pick / 2016,645000.0
Charles Washington,,,,O,O,O,Q,,,,,,,,,,,,,,,,,,,,,,
Brandon Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Maxx Williams,,,,,,,Q,,,,,,,,,,87.0,25.0,TE,16.0,10.0,252.0,2020-06-04,Minnesota,1994-04-12,4,2.0,Baltimore Ravens / 2nd / 55th pick / 2015,805000.0
Trevor Williams,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,
