Player ,09/13vs. SDG,09/20vs. MIN,09/27vs. DEN,10/05vs. SEA,10/11vs. ARI,10/18vs. CHI,10/25vs. MIN,11/01vs. KAN,11/15vs. GNB,11/22vs. OAK,11/26vs. PHI,12/03vs. GNB,12/13vs. STL,12/21vs. NOR,12/27vs. SFO,01/03vs. CHI,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Darius Slay,,P,,,P,P,,,P,,Q,,,,,,23.0,24.0,LCB,16.0,16.0,190.0,2000-06-01,Mississippi St.,1991-01-01,2,5.0,Detroit Lions / 2nd / 36th pick / 2013,1442537.0
Matthew Stafford,,P,P,,,,,P,,,,,,,,,9.0,27.0,QB,16.0,16.0,220.0,2020-06-03,Georgia,1988-02-07,6,13.0,Detroit Lions / 1st / 1st pick / 2009,17721250.0
Travis Swanson,,,,,,,,,,,,Q,Q,,,O,64.0,24.0,C,14.0,14.0,304.0,2020-06-05,Arkansas,1991-01-30,1,7.0,Detroit Lions / 3rd / 76th pick / 2014,699868.0
Darryl Tapp,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Golden Tate,,P,,,,P,P,,,,,P,,,,,15.0,27.0,WR,16.0,16.0,197.0,2020-05-10,Notre Dame,1988-08-02,5,7.0,Seattle Seahawks / 2nd / 60th pick / 2010,3096250.0
Stephen Tulloch,,,,,,,,P,,,,,,,,,55.0,30.0,MLB,16.0,16.0,245.0,2020-05-11,North Carolina St.,1985-01-01,9,7.0,Tennessee Titans / 4th / 116th pick / 2006,5800000.0
LaAdrian Waddle,Q,P,,,,P,,Q,,,,,,,,,66.0,24.0,rt,8.0,6.0,315.0,2020-06-06,Texas Tech,1991-07-21,2,4.0,,849250.0
Tyrunn Walker,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Larry Warford,O,P,P,Q,Q,P,,,,,,Q,,,Q,,75.0,24.0,RG,13.0,13.0,317.0,2020-06-03,Kentucky,1991-06-18,2,6.0,Detroit Lions / 3rd / 65th pick / 2013,849250.0
Tahir Whitehead,P,,,,,,P,,,,,,,,,,59.0,25.0,LLB,16.0,8.0,241.0,2020-06-02,Temple,1990-04-02,3,4.0,Detroit Lions / 5th / 138th pick / 2012,713000.0
Josh Wilson,,,,Q,,,Q,,P,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Gabe Wright,,,,,,,,,,O,Q,P,,,,,,,,,,,,,,,,,
Zach Zenner,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
