Player ,09/08vs. ARI,09/15vs. LAC,09/22vs. PHI,09/29vs. KAN,10/14vs. GNB,10/20vs. MIN,10/27vs. NYG,11/03vs. OAK,11/10vs. CHI,11/17vs. DAL,11/24vs. WAS,11/28vs. CHI,12/08vs. MIN,12/15vs. TAM,12/22vs. DEN,12/29vs. GNB,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Graham Glasgow,,,,,,,,Q,Q,,,,,,,,60.0,27.0,G,15.0,15.0,310.0,2020-06-06,Michigan,1992-07-19,3,6.0,Detroit Lions / 3rd / 95th pick / 2016,2025000.0
Marvin Hall,,,,,,,,,,,,O,IR,IR,IR,IR,,,,,,,,,,,,,
Da'Shawn Hand,O,Q,O,Q,Q,Q,,,O,O,O,Q,O,IR,IR,IR,,,,,,,,,,,,,
Damon Harrison,,,,,,,Q,Q,Q,Q,,Q,,,,,98.0,31.0,DT,15.0,15.0,350.0,2020-06-03,William Penn,1988-11-29,7,7.0,,6750000.0
T.J. Hockenson,,,,,Q,,,,,,,Q,IR,IR,IR,IR,88.0,22.0,te,12.0,7.0,247.0,2020-06-05,Iowa,1997-07-03,Rook,3.0,Detroit Lions / 1st / 8th pick / 2019,495000.0
Kerryon Johnson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,33.0,22.0,RB,8.0,7.0,211.0,2020-05-11,Auburn,1997-06-30,1,3.0,Detroit Lions / 2nd / 43rd pick / 2018,775622.0
Christian Jones,,,,,,,,,,,,,,Q,IR,IR,52.0,28.0,RLB,13.0,13.0,250.0,2020-06-03,Florida St.,1991-02-18,5,6.0,,2450000.0
Marvin Jones,,,,,,,,,,,,,,IR,IR,IR,11.0,29.0,WR,13.0,11.0,199.0,2020-06-02,California,1990-03-12,7,6.0,Cincinnati Bengals / 5th / 166th pick / 2012,6500000.0
Jermaine Kearse,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Devon Kennard,,,,,,,,,,,,,,,Q,Q,42.0,28.0,LLB,16.0,15.0,256.0,2020-06-03,USC,1991-06-24,5,8.0,New York Giants / 5th / 174th pick / 2014,3500000.0
Darius Kilgo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Miles Killebrew,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,
Tre Lamar,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Longa,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Sam Martin,,,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,
Rashaan Melvin,Q,,Q,,,,,,,,Q,O,Q,,,,29.0,30.0,CB,13.0,12.0,194.0,2020-06-02,Northern Illinois,1989-10-02,6,3.0,,1300000.0
C.J. Moore,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeo Okwara,,,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,
Amani Oruwariye,,,,,O,O,O,Q,,,,,,,,,,,,,,,,,,,,,
Matt Prater,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Frank Ragnow,Q,,,,,,,,,,O,,,,,,77.0,23.0,C,15.0,15.0,311.0,2020-06-05,Arkansas,1996-05-17,1,6.0,Detroit Lions / 1st / 20th pick / 2018,1015461.0
A'Shawn Robinson,,,,,Q,,,Q,Q,,,,,O,O,O,91.0,24.0,DT,13.0,9.0,330.0,2020-06-04,Alabama,1995-03-21,3,5.0,Detroit Lions / 2nd / 46th pick / 2016,1163678.0
Bo Scarbrough,,,,,,,,,,,,,,Q,Q,,43.0,25.0,rb,6.0,5.0,235.0,2020-06-01,Alabama,1994-09-29,1,2.0,Dallas Cowboys / 7th / 236th pick / 2018,
Darius Slay,,,,Q,Q,Q,O,Q,,,,,,,,,,,,,,,,,,,,,
Matthew Stafford,,,,Q,,,,,Q,O,O,O,O,O,IR,IR,9.0,31.0,QB,8.0,8.0,220.0,2020-06-03,Georgia,1988-02-07,10,8.0,Detroit Lions / 1st / 1st pick / 2009,13500000.0
Kevin Strong,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jahlani Tavai,,,,,,,,,,,,,,,,IR,51.0,23.0,mlb,15.0,6.0,250.0,2020-06-02,Hawaii,1996-09-28,Rook,4.0,Detroit Lions / 2nd / 43rd pick / 2019,495000.0
Ricky Wagner,,,,,,Q,,,,O,,,,O,O,Q,71.0,30.0,RT,12.0,12.0,313.0,2020-06-06,Wisconsin,1989-10-21,6,6.0,Baltimore Ravens / 5th / 168th pick / 2013,9000000.0
Tracy Walker,,,,,,,,O,O,Q,O,Q,,,,,21.0,24.0,FS,13.0,12.0,210.0,2020-06-01,Louisiana,1995-02-01,1,4.0,Detroit Lions / 3rd / 82nd pick / 2018,628000.0
Kenny Wiggins,,,,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Tavon Wilson,,,,,,,,,,,,,,,,Q,32.0,29.0,SS,16.0,13.0,208.0,2000-06-01,Illinois,1990-03-19,7,4.0,New England Patriots / 2nd / 48th pick / 2012,1000000.0
