Player ,09/11vs. DET,09/18vs. DEN,09/25vs. SDG,10/02vs. JAX,10/09vs. CHI,10/16vs. HOU,10/23vs. TEN,10/30vs. KAN,11/06vs. GNB,11/20vs. TEN,11/24vs. PIT,12/05vs. NYJ,12/11vs. HOU,12/18vs. MIN,12/24vs. OAK,01/01vs. JAX,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Andrew Luck,,,Q,,,,,,,,O,,,,,,12.0,27.0,QB,15.0,15.0,240.0,2020-06-04,Stanford,1989-09-12,4,16.0,Indianapolis Colts / 1st / 1st pick / 2012,18400000.0
Curt Maggitt,,,,,,,O,O,Q,,,,Q,IR,IR,IR,,,,,,,,,,,,,
Robert Mathis,,Q,,,Q,,,,,,,O,O,,,,98.0,35.0,ROLB,14.0,12.0,245.0,2020-06-02,Alabama A&M,1981-02-26,13,6.0,Indianapolis Colts / 5th / 138th pick / 2003,5000000.0
Rashaan Melvin,,,,,,,,,,,,,,,Q,Q,30.0,27.0,LCB,15.0,9.0,194.0,2020-06-02,Northern Illinois,1989-10-02,3,4.0,,675000.0
Jack Mewhort,Q,,,,,,O,O,O,,,,,IR,IR,IR,75.0,25.0,LG,10.0,10.0,310.0,2020-06-06,Ohio St.,1991-08-30,2,6.0,Indianapolis Colts / 2nd / 59th pick / 2014,974673.0
Tevin Mitchel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Donte Moncrief,,,O,O,O,O,O,Q,,,Q,,,O,,D,10.0,23.0,WR,9.0,7.0,216.0,2020-06-02,Mississippi,1993-08-06,2,3.0,Indianapolis Colts / 3rd / 90th pick / 2014,750880.0
Joe Reitz,,,,Q,Q,,,,O,,,,,O,Q,,76.0,31.0,rt,13.0,6.0,256.0,2020-06-07,West. Michigan,1985-08-24,5,4.0,,3250000.0
Hassan Ridgeway,,,,,,,,,,,,Q,,,,,91.0,22.0,lde,16.0,5.0,305.0,2020-06-03,Texas,1994-11-02,Rook,3.0,Indianapolis Colts / 4th / 116th pick / 2016,590055.0
Patrick Robinson,,,,,,,,,,,,IR,IR,IR,IR,IR,25.0,29.0,lcb,7.0,6.0,191.0,2020-05-11,Florida St.,1987-09-07,6,2.0,New Orleans Saints / 1st / 32nd pick / 2010,4000000.0
Chester Rogers,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,
D'Joun Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
Dezmen Southward,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ron Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Hugh Thornton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Robert Turbin,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Frankie Williams,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Andrew Williamson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
