Player ,09/13vs. MIN,09/20vs. DET,09/27vs. NOR,10/05vs. ATL,10/18vs. TAM,10/25vs. HOU,11/01vs. MIN,11/05vs. SFO,11/15vs. JAX,11/22vs. IND,11/29vs. CHI,12/06vs. PHI,12/13vs. DET,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Raven Greene,Q,Q,,,,,Q,Q,,,,,,,,,,,,,,,,,,
Ka'dar Hollman,,,,,,,,,,Q,,,,29.0,26.0,CB,11.0,1.0,196.0,2000-06-01,Toledo,1994-09-18,1,,Green Bay Packers / 6th / 185th pick / 2019,675000.0
Josh Jackson,,,,,,,,,,,Q,,,37.0,24.0,CB,11.0,5.0,196.0,2000-06-01,Iowa,1996-04-03,2,,Green Bay Packers / 2nd / 45th pick / 2018,1048736.0
Elgton Jenkins,,,Q,,,,,,,,,,,74.0,25.0,OL,13.0,13.0,311.0,2020-06-05,Mississippi St.,1995-12-26,1,,Green Bay Packers / 2nd / 44th pick / 2019,802597.0
Aaron Jones,,,,,,Q,O,Q,,,,,,33.0,26.0,RB,11.0,11.0,208.0,2020-05-09,Texas-El Paso,1994-12-02,3,,Green Bay Packers / 5th / 182nd pick / 2017,2133000.0
Kevin King,,,,,Q,D,O,O,Q,Q,Q,,,20.0,25.0,CB,8.0,8.0,200.0,2020-06-03,Washington,1995-05-05,3,,Green Bay Packers / 2nd / 33rd pick / 2017,1430575.0
Christian Kirksey,,,,IR,IR,IR,IR,IR,IR,,,,,58.0,28.0,OLB,8.0,8.0,235.0,2020-06-02,Iowa,1992-08-31,6,,Cleveland Browns / 3rd / 71st pick / 2014,1750000.0
Tyler Lancaster,,,,,,O,Q,,,,,,,95.0,26.0,DL,12.0,3.0,313.0,2020-06-03,Northwestern,1994-11-04,2,,,750000.0
Allen Lazard,,,,IR,IR,IR,IR,IR,IR,Q,,,,13.0,25.0,WR,7.0,6.0,227.0,2020-06-05,Iowa St.,1995-12-11,2,,,469118.0
Marcedes Lewis,,,,D,,,,,,,,,,89.0,36.0,TE,12.0,12.0,267.0,2020-06-06,UCLA,1984-05-19,14,,Jacksonville Jaguars / 1st / 28th pick / 2006,1100000.0
Corey Linsley,,,,Q,,Q,,,,,Q,IR,IR,,,,,,,,,,,,,
Jordan Love,,,,,,,,C19,C19,,,,,10.0,22.0,QB,,,224.0,2020-06-04,Utah St.,1998-11-02,Rook,,Green Bay Packers / 1st / 26th pick / 2020,610000.0
John Lovett,,,,,,,Q,,O,IR,IR,IR,IR,,,,,,,,,,,,,
Kamal Martin,IR,IR,IR,IR,IR,IR,,C19,C19,,,,,54.0,22.0,LB,7.0,6.0,240.0,2020-06-03,Minnesota,1998-06-17,Rook,,Green Bay Packers / 5th / 175th pick / 2020,523527.0
Parry Nickerson,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Lucas Patrick,,Q,,,,,,,,,,,,62.0,27.0,G,13.0,13.0,313.0,2020-06-03,Duke,1993-07-30,3,,,875000.0
Randy Ramsey,O,O,D,,,,,,,,,,,56.0,25.0,LB,9.0,0.0,236.0,2020-06-03,Arkansas,1995-09-07,Rook,,,610000.0
Will Redmond,,,,,,,,O,Q,Q,,,,25.0,27.0,CB,11.0,1.0,186.0,2020-05-11,Mississippi St.,1993-12-28,2,,San Francisco 49ers / 3rd / 68th pick / 2016,750000.0
Darnell Savage Jr.,,,Q,,,D,Q,,,,,,,26.0,23.0,S,12.0,12.0,198.0,2020-05-11,Maryland,1997-07-30,1,,Green Bay Packers / 1st / 21st pick / 2019,1063986.0
JK Scott,,,,Q,,,,,,Q,,,,6.0,25.0,P,13.0,0.0,208.0,2020-06-06,Alabama,1995-10-30,2,,Green Bay Packers / 5th / 172nd pick / 2018,750000.0
Vernon Scott,,,,,,,,O,Q,,,,,36.0,23.0,S,12.0,0.0,,,TCU,1997-09-11,Rook,,Green Bay Packers / 7th / 236th pick / 2020,610000.0
Darrius Shepherd,,,,,,,,,Q,Q,,,,,,,,,,,,,,,,
Preston Smith,,,,,,Q,,,,,,,,91.0,28.0,DE,13.0,11.0,265.0,2020-06-05,Mississippi St.,1992-11-17,5,,Washington Redskins / 2nd / 38th pick / 2015,4350000.0
Za'Darius Smith,,,,Q,Q,,,,,,,,,55.0,28.0,DE,13.0,13.0,272.0,2020-06-04,Kentucky,1992-09-08,5,,Baltimore Ravens / 4th / 122nd pick / 2015,2000000.0
Equanimeous St. Brown,,O,,,,,,,Q,Q,Q,,,19.0,24.0,WR,9.0,1.0,214.0,2020-06-05,Notre Dame,1996-09-30,2,,Green Bay Packers / 6th / 207th pick / 2018,616176.0
Simon Stepaniak,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,72.0,23.0,OL,,,313.0,2020-06-04,Indiana,1997-05-15,Rook,,Green Bay Packers / 6th / 209th pick / 2020,400000.0
Lane Taylor,,O,,,,,,,,IR,,,,,,,,,,,,,,,,
Patrick Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Robert Tonyan,,,,,,Q,,,Q,,,,,85.0,26.0,TE,13.0,8.0,237.0,2020-06-05,Indiana St.,1994-04-30,2,,,750000.0
Billy Turner,D,Q,,,,,,,,,,,,77.0,29.0,OT,11.0,11.0,310.0,2020-06-05,North Dakota St.,1991-10-17,6,,Miami Dolphins / 3rd / 67th pick / 2014,2200000.0
Marquez Valdes-Scantling,,,,,,,,,,,Q,,,83.0,26.0,WR,13.0,11.0,206.0,2020-06-04,"North Carolina St.,South Florida",1994-10-10,2,,Green Bay Packers / 5th / 174th pick / 2018,750000.0
Ricky Wagner,,,,,,,,Q,Q,,,,,71.0,31.0,OT,13.0,6.0,313.0,2020-06-06,Wisconsin,1989-10-21,7,,Baltimore Ravens / 5th / 168th pick / 2013,2250000.0
Jamaal Williams,,,,,,,,C19,C19,,,,,30.0,25.0,RB,12.0,3.0,213.0,2000-06-01,BYU,1995-04-03,3,,Green Bay Packers / 4th / 134th pick / 2017,2133000.0
Billy Winn,,,,,,,,,,,,,IR,,,,,,,,,,,,,
