Player ,09/13vs. HOU,09/17vs. DEN,09/28vs. GNB,10/04vs. CIN,10/11vs. CHI,10/18vs. MIN,10/25vs. PIT,11/01vs. DET,11/15vs. DEN,11/22vs. SDG,11/29vs. BUF,12/06vs. OAK,12/13vs. SDG,12/20vs. BAL,12/27vs. CLE,01/03vs. OAK,01/09vs. HOU,01/16vs. NWE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Phillip Gaines,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Richard Gordon,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ben Grubbs,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,66.0,31.0,LG,7.0,7.0,311.0,2020-06-03,Auburn,1984-03-10,8,4.0,Baltimore Ravens / 1st / 29th pick / 2007,2400000.0
Tamba Hali,,P,,,,Q,Q,Q,P,P,P,P,P,P,Q,Q,Q,Q,,,,,,,,,,,,,
Demetrius Harris,P,P,P,,,,,,,,,,,,,,,,84.0,24.0,TE,16.0,9.0,230.0,2020-06-07,Wisconsin–Milwaukee,1991-07-29,2,1.0,,510000.0
Justin Houston,,,,,,,P,,,,,O,O,O,O,Q,P,Q,,,,,,,,,,,,,
Travis Kelce,P,P,,,P,P,P,P,P,P,Q,P,P,P,P,P,P,P,,,,,,,,,,,,,
Jeremy Maclin,,P,,,,,Q,P,,,,,,,,,P,Q,19.0,27.0,WR,15.0,15.0,200.0,2000-06-01,Missouri,1988-05-11,6,11.0,Philadelphia Eagles / 1st / 19th pick / 2009,3400000.0
Justin March-Lillard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh Mauga,P,P,P,P,O,O,Q,P,,,,P,,,,,,P,90.0,28.0,RILB,14.0,14.0,250.0,2020-06-01,Nevada,1987-06-20,5,7.0,,1750000.0
Mitch Morse,,,,,,,,,,,,O,P,,,,O,O,61.0,23.0,C,15.0,15.0,305.0,2020-06-06,Missouri,1992-04-21,Rook,8.0,Kansas City Chiefs / 2nd / 49th pick / 2015,849649.0
Rakeem Nunez-Roches,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James O'Shaughnessy,,,,,P,P,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brian Parker,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,
Dontari Poe,P,P,,,,O,Q,P,,,,,,,,,,,92.0,25.0,NT,15.0,13.0,346.0,2020-06-03,Memphis,1990-08-18,3,7.0,Kansas City Chiefs / 1st / 11th pick / 2012,3601822.0
Jah Reid,,,,,,,,,,,,,,,,Q,P,P,75.0,27.0,RT,10.0,10.0,325.0,2020-06-07,Central Florida,1988-07-21,4,5.0,Baltimore Ravens / 3rd / 85th pick / 2011,585000.0
Cairo Santos,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,
Alex Smith,,,,,,,P,P,,,,,,,,,,,11.0,31.0,QB,16.0,16.0,213.0,2020-06-04,Utah,1984-05-07,10,16.0,San Francisco 49ers / 1st / 1st pick / 2005,15600000.0
Sean Smith,,,,,,,,,,P,,,,,,,,,21.0,28.0,RCB,13.0,13.0,215.0,2020-06-02,Utah,1987-07-14,6,4.0,Miami Dolphins / 2nd / 61st pick / 2009,7000000.0
Donald Stephenson,,,P,,,,,,,,,,,,,,,,79.0,27.0,lt,16.0,7.0,312.0,2020-06-05,Oklahoma,1988-09-30,3,5.0,Kansas City Chiefs / 3rd / 74th pick / 2012,844375.0
De'Anthony Thomas,P,P,P,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Spencer Ware,,,,,,,,,,,,P,,Q,P,P,P,Q,,,,,,,,,,,,,
Charcandrick West,,P,P,,,,,P,,,Q,P,,,,,,,35.0,24.0,RB,15.0,9.0,205.0,2020-05-10,Abilene Christian,1991-06-02,1,7.0,,510000.0
Albert Wilson,P,P,P,Q,Q,,,,,,,,,,,P,,Q,12.0,23.0,WR,14.0,12.0,195.0,2020-05-09,Georgia St.,1992-07-12,1,5.0,,513333.0
Ramik Wilson,,,,,,,D,O,Q,Q,P,,,,,,,,,,,,,,,,,,,,
