Player ,09/17vs. LAC,09/24vs. NYJ,10/01vs. NOR,10/08vs. TEN,10/15vs. ATL,10/22vs. NYJ,10/26vs. BAL,11/05vs. OAK,11/13vs. CAR,11/19vs. TAM,11/26vs. NWE,12/03vs. DEN,12/11vs. NWE,12/17vs. BUF,12/24vs. KAN,12/31vs. BUF,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
T.J. McDonald,,,,,,,,,,,,,,,Q,Q,22.0,26.0,FS,8.0,8.0,215.0,2020-06-02,USC,1991-01-26,4,3.0,St. Louis Rams / 3rd / 71st pick / 2013,944445.0
Raekwon McMillan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Koa Misi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Matt Moore,,,,,,,,,,,,O,O,D,D,D,,,,,,,,,,,,,
DeVante Parker,,Q,,,D,D,Q,Q,,,,,,,Q,Q,11.0,24.0,WR,13.0,12.0,216.0,2020-06-03,Louisville,1993-01-20,2,5.0,Miami Dolphins / 1st / 14th pick / 2015,1423776.0
Senorise Perry,,,,,,,,,,Q,,Q,,,,,,,,,,,,,,,,,
Jordan Phillips,,D,D,Q,,,Q,,,,,,,Q,,,97.0,25.0,RDT,13.0,11.0,341.0,2020-06-06,Oklahoma,1992-09-21,2,5.0,Miami Dolphins / 2nd / 52nd pick / 2015,831628.0
Mike Pouncey,,,,,,Q,,,,,,,,,,,51.0,28.0,C,16.0,16.0,298.0,2020-06-05,Florida,1989-07-24,6,6.0,Miami Dolphins / 1st / 15th pick / 2011,7950000.0
Rashawn Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eric Smith,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Maurice Smith,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Anthony Steen,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,65.0,27.0,lg,6.0,6.0,314.0,2020-06-03,Alabama,1990-05-09,3,2.0,,615000.0
Kenny Stills,,,Q,,,,,,,Q,,,,,,,10.0,25.0,WR,16.0,16.0,202.0,2020-06-01,Oklahoma,1992-04-22,4,6.0,New Orleans Saints / 5th / 144th pick / 2013,1975000.0
Cordrea Tankersley,,,,,,,,,,,,,D,D,Q,,30.0,24.0,LCB,11.0,11.0,200.0,2020-06-01,Clemson,1993-11-19,Rook,3.0,Miami Dolphins / 3rd / 97th pick / 2017,465000.0
Ryan Tannehill,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Vincent Taylor,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Julius Thomas,,,,,,,,,,,,,,,IR,IR,89.0,29.0,TE,14.0,12.0,256.0,2020-06-05,Portland St.,1988-06-27,6,3.0,Denver Broncos / 4th / 129th pick / 2011,5500000.0
Michael Thomas,,,,,,,,,Q,Q,,Q,Q,IR,IR,Q,,,,,,,,,,,,,
Laremy Tunsil,,,,,,,Q,,,,Q,,,,,D,67.0,23.0,LT,15.0,15.0,313.0,2020-06-05,Mississippi,1994-08-02,1,6.0,Miami Dolphins / 1st / 13th pick / 2016,1016257.0
Alterraun Verner,,,Q,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Cameron Wake,,,,,,,,,,,,,,,,Q,91.0,35.0,RDE,16.0,16.0,263.0,2020-06-03,Penn St.,1982-01-30,8,7.0,,6875000.0
Damien Williams,,Q,,,,,,,Q,,,O,O,D,D,D,,,,,,,,,,,,,
Avery Young,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
