Player ,09/10vs. DET,09/16vs. MIA,09/20vs. CLE,09/30vs. JAX,10/07vs. DEN,10/14vs. IND,10/21vs. MIN,10/28vs. CHI,11/04vs. MIA,11/11vs. BUF,11/25vs. NWE,12/02vs. TEN,12/09vs. BUF,12/15vs. HOU,12/23vs. GNB,12/30vs. NWE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Rontez Miles,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,
Charone Peake,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,
Claude Pelon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kevin Pierre-Louis,,,,,,D,D,Q,D,,,,,Q,IR,O,,,,,,,,,,,,,
Bilal Powell,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,29.0,30.0,RB,7.0,7.0,204.0,2020-05-10,Louisville,1988-10-27,7,3.0,New York Jets / 4th / 126th pick / 2011,4000000.0
Terrelle Pryor,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,
Andre Roberts,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,
Darryl Roberts,,,,,,,,,,,,,,,Q,,27.0,28.0,LCB,16.0,10.0,182.0,2000-06-01,Marshall,1990-11-26,2,4.0,New England Patriots / 7th / 247th pick / 2015,705000.0
Brandon Shell,,,,,,,,,,,,,,,IR,IR,72.0,26.0,RT,14.0,14.0,324.0,2020-06-05,South Carolina,1992-02-06,2,6.0,New York Jets / 5th / 158th pick / 2016,630000.0
Buster Skrine,,,,Q,,O,O,,,,,,Q,,,,41.0,29.0,DB,14.0,11.0,187.0,2020-05-09,Chattanooga,1989-04-26,7,4.0,Cleveland Browns / 5th / 137th pick / 2011,8000000.0
Neal Sterling,,,O,O,O,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eric Tomlinson,,,,,,,,,,,,,,,,IR,83.0,26.0,TE,15.0,12.0,263.0,2020-06-06,Texas-El Paso,1992-04-22,2,1.0,,630000.0
