Player ,09/10vs. NWE,09/20vs. SFO,09/27vs. STL,10/01vs. BAL,10/12vs. SDG,10/18vs. ARI,10/25vs. KAN,11/01vs. CIN,11/08vs. OAK,11/15vs. CLE,11/29vs. SEA,12/06vs. IND,12/13vs. CIN,12/20vs. DEN,12/27vs. BAL,01/03vs. CLE,01/09vs. CIN,01/17vs. DEN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Garrett Hartley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cameron Heyward,,,P,,,,,,,,,,,,,,,P,97.0,26.0,LDE,16.0,16.0,295.0,2020-06-05,Ohio St.,1989-05-06,4,9.0,Pittsburgh Steelers / 1st / 31st pick / 2011,6400000.0
Darrius Heyward-Bey,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,
Will Johnson,,,,,,,,,,P,,,,,,,,Q,,,,,,,,,,,,,
Jarvis Jones,,,,,,Q,P,,,,,,,,,,,,95.0,26.0,ROLB,15.0,15.0,245.0,2020-06-02,Georgia,1989-10-13,2,7.0,Pittsburgh Steelers / 1st / 17th pick / 2013,2374228.0
Landry Jones,O,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doug Legursky,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel McCullers,,,O,O,P,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve McLendon,,,,,,,,,,P,,,,,,,,,90.0,29.0,NT,16.0,9.0,310.0,2020-06-03,Troy,1986-01-03,5,5.0,,2808334.0
Heath Miller,,,,,,,,P,P,P,,Q,P,P,,P,P,,83.0,33.0,TE,15.0,15.0,256.0,2020-06-05,Virginia,1982-10-22,10,4.0,Pittsburgh Steelers / 1st / 30th pick / 2005,4151666.0
Mike Mitchell,,P,,,,,,,P,,,P,,P,P,P,,,23.0,28.0,FS,16.0,16.0,221.0,2020-06-01,Ohio,1987-06-10,6,7.0,Oakland Raiders / 2nd / 47th pick / 2009,2508750.0
Isaiah Pead,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,
Maurkice Pouncey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ben Roethlisberger,,,,O,O,O,Q,P,,Q,,P,,,,P,,Q,,,,,,,,,,,,,
Ryan Shazier,,P,O,O,O,O,P,,,P,Q,P,,P,,P,,P,50.0,23.0,LILB,12.0,12.0,230.0,2020-06-01,Ohio St.,1992-09-06,1,7.0,Pittsburgh Steelers / 1st / 15th pick / 2014,2160730.0
Matt Spaeth,,,,O,P,,P,P,O,O,Q,P,P,P,P,P,,P,89.0,32.0,TE,13.0,7.0,270.0,2020-06-07,Minnesota,1983-11-24,8,0.0,Pittsburgh Steelers / 3rd / 77th pick / 2007,1062500.0
Sean Spence,,P,,,,,,,,,,O,P,,,,,,,,,,,,,,,,,,
Shaun Suisham,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Shamarko Thomas,,,,,,,,,,O,P,,,,,,,,,,,,,,,,,,,,
Stephon Tuitt,,,,,,,O,O,P,,,,,,,,,,91.0,22.0,RDE,14.0,14.0,303.0,2020-06-06,Notre Dame,1993-05-23,1,8.0,Pittsburgh Steelers / 2nd / 46th pick / 2014,1047601.0
Ross Ventrone,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Vick,,,,,,,O,O,P,,,,,,,,,,,,,,,,,,,,,,
Cody Wallace,,,,P,,,,P,,,,,,,,,,,72.0,31.0,C,16.0,16.0,290.0,2020-06-04,Texas A&M,1984-11-26,7,8.0,San Francisco 49ers / 4th / 107th pick / 2008,1250000.0
Greg Warren,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,
Markus Wheaton,,,P,,P,,,,P,,,,,,,,,,11.0,24.0,WR,16.0,8.0,185.0,2020-05-11,Oregon St.,1991-02-07,2,6.0,Pittsburgh Steelers / 3rd / 79th pick / 2013,752844.0
DeAngelo Williams,,,,,,,,,,P,,,,P,,,O,O,34.0,32.0,RB,16.0,10.0,207.0,2020-05-09,Memphis,1983-04-25,9,9.0,Carolina Panthers / 1st / 27th pick / 2006,1435000.0
Vince Williams,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,
