Player ,09/10vs. HOU,09/17vs. TEN,09/24vs. BAL,10/01vs. NYJ,10/08vs. PIT,10/15vs. LAR,10/22vs. IND,11/05vs. CIN,11/12vs. LAC,11/19vs. CLE,11/26vs. ARI,12/03vs. IND,12/10vs. SEA,12/17vs. HOU,12/24vs. SFO,12/31vs. TEN,01/07vs. BUF,01/14vs. PIT,01/21vs. NWE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Calvin Pryor,,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jalen Ramsey,,Q,Q,,,,,,,,Q,,Q,,,,,,,,,,,,,,,,,,,
Mychal Rivera,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Allen Robinson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cam Robinson,,,Q,,,,,Q,,,,,,,,Q,,,,74.0,22.0,LT,15.0,15.0,320.0,2020-06-06,Alabama,1995-10-09,Rook,9.0,Jacksonville Jaguars / 2nd / 34th pick / 2017,465000.0
Edmond Robinson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Telvin Smith,,,,,,,,,,,,O,Q,,,,,,,,,,,,,,,,,,,
Jaelen Strong,,,O,O,Q,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Carson Tinker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bryan Walters,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh Wells,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,
Dede Westbrook,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,12.0,24.0,wr,7.0,5.0,178.0,2000-06-01,"Blinn College (TX),Oklahoma",1993-11-21,Rook,3.0,Jacksonville Jaguars / 4th / 110th pick / 2017,348000.0
Marquez Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,,,,,,,,,,,,,
Jarrod Wilson,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Yeldon,Q,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
