Player ,09/10vs. DET,09/17vs. IND,09/25vs. DAL,10/01vs. SFO,10/08vs. PHI,10/15vs. TAM,10/22vs. LAR,11/05vs. SFO,11/09vs. SEA,11/19vs. HOU,11/26vs. JAX,12/03vs. LAR,12/10vs. TEN,12/17vs. WAS,12/24vs. NYG,12/31vs. SEA,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Markus Golden,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jermaine Gresham,,Q,Q,,,,,,,,,,,Q,,,84.0,29.0,TE,14.0,14.0,260.0,2020-06-05,Oklahoma,1988-06-16,7,2.0,Cincinnati Bengals / 1st / 21st pick / 2010,2000000.0
D.J. Humphries,,O,O,Q,O,,,,,IR,IR,IR,IR,IR,IR,IR,74.0,24.0,LT,5.0,5.0,307.0,2020-06-05,Florida,1993-12-28,1,2.0,Arizona Cardinals / 1st / 24th pick / 2015,1245192.0
Mike Iupati,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
David Johnson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jarvis Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
T.J. Logan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Gabe Martin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,O,Q,,,,,,,,,,,,,,
Josh Mauro,,,,,,,,,,,Q,Q,Q,Q,,,97.0,26.0,LDE,13.0,7.0,290.0,2020-06-06,Stanford,1991-02-17,3,4.0,,750000.0
Ifeanyi Momah,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Daniel Munyer,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
JJ Nelson,,,Q,Q,Q,,,,,,,,Q,,,,14.0,25.0,wr,16.0,5.0,160.0,2020-05-10,Ala-Birmingham,1992-04-24,2,4.0,Arizona Cardinals / 5th / 159th pick / 2015,615000.0
Troy Niklas,,Q,,,,,,,,,,Q,,,O,Q,87.0,25.0,TE,15.0,11.0,270.0,2020-06-06,Notre Dame,1992-09-18,3,1.0,Arizona Cardinals / 2nd / 52nd pick / 2014,968632.0
Robert Nkemdiche,Q,Q,,O,O,Q,Q,,,,,,,,,,,,,,,,,,,,,,
Carson Palmer,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,3.0,38.0,QB,7.0,7.0,235.0,2020-06-05,USC,1979-12-27,13,5.0,Cincinnati Bengals / 1st / 1st pick / 2003,15500000.0
Elijhaa Penny,,,,,,,,,,,Q,,,,,Q,,,,,,,,,,,,,
Corey Peters,,,,,,Q,,,,O,O,O,Q,Q,,,98.0,29.0,NT,12.0,12.0,335.0,2020-06-03,Kentucky,1988-06-08,7,5.0,Atlanta Falcons / 3rd / 83rd pick / 2010,2750000.0
Adrian Peterson,,,,,,,,,,,,IR,IR,O,IR,IR,23.0,32.0,RB,6.0,6.0,220.0,2020-06-01,Oklahoma,1985-03-21,10,3.0,Minnesota Vikings / 1st / 7th pick / 2007,1000000.0
Patrick Peterson,,,,,,Q,,,,,,,Q,,,,,,,,,,,,,,,,
Olsen Pierre,,,,,,O,Q,,,,,,,,Q,,72.0,26.0,lde,14.0,7.0,293.0,2020-06-05,Miami (FL),1991-08-27,Rook,4.0,,540000.0
Frostee Rucker,,,,,,,,Q,,,,,,,,,92.0,34.0,RDE,16.0,16.0,261.0,2020-06-03,USC,1983-09-14,10,7.0,Cincinnati Bengals / 3rd / 91st pick / 2006,1000000.0
A.Q. Shipley,,,,,,,,,,Q,,,,,,,53.0,31.0,C,16.0,16.0,307.0,2020-06-01,Penn St.,1986-05-22,8,6.0,Pittsburgh Steelers / 7th / 226th pick / 2009,775000.0
Drew Stanton,,,,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,
Jared Veldheer,,,,,,Q,,,,,,,Q,IR,IR,IR,68.0,30.0,RT,13.0,13.0,321.0,2020-06-08,Hillsdale,1987-06-14,7,5.0,Oakland Raiders / 3rd / 69th pick / 2010,6500000.0
Earl Watford,,,,,,,,,,,,,,O,O,Q,71.0,27.0,RG,10.0,9.0,300.0,2020-06-03,James Madison,1990-06-24,4,4.0,Arizona Cardinals / 4th / 116th pick / 2013,592647.0
John Wetzel,,,,,,,,,,Q,,,,,,,73.0,26.0,LT,16.0,11.0,328.0,2020-06-07,Boston Col.,1991-07-18,4,5.0,,540000.0
Chad Williams,,,,,,,,Q,Q,,,,,,Q,,,,,,,,,,,,,,
Kerwynn Williams,,,,,,,,,,,,,,,Q,Q,,,,,,,,,,,,,
Xavier Williams,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,
Ronald Zamort,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
