Player ,09/09vs. WAS,09/16vs. LAR,09/23vs. CHI,09/30vs. SEA,10/07vs. SFO,10/14vs. MIN,10/18vs. DEN,10/28vs. SFO,11/11vs. KAN,11/18vs. OAK,11/25vs. LAC,12/02vs. GNB,12/09vs. DET,12/16vs. ATL,12/23vs. LAR,12/30vs. SEA,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Arthur Moats,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
JJ Nelson,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Robert Nkemdiche,Q,,,Q,Q,Q,,,O,Q,Q,,,IR,IR,IR,90.0,24.0,rdt,10.0,6.0,296.0,2020-06-04,Mississippi,1994-09-19,2,4.0,Arizona Cardinals / 1st / 29th pick / 2016,1231873.0
Jonathan Owens,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Corey Peters,,,,Q,Q,,,Q,Q,,Q,,,,,,98.0,30.0,LDT,15.0,15.0,335.0,2020-06-03,Kentucky,1988-06-08,8,7.0,Atlanta Falcons / 3rd / 83rd pick / 2010,1250000.0
Patrick Peterson,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
John Phillips,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Olsen Pierre,Q,O,O,Q,,,,,,,Q,,IR,IR,IR,IR,,,,,,,,,,,,,
Justin Pugh,,,,,,,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR,67.0,28.0,RG,7.0,7.0,311.0,2020-06-05,Syracuse,1990-08-15,5,2.0,New York Giants / 1st / 19th pick / 2013,1000000.0
Haason Reddick,,Q,,,,,,,,,,Q,,,,,43.0,24.0,LLB,16.0,12.0,235.0,2020-06-01,Temple,1994-09-22,1,6.0,Arizona Cardinals / 1st / 13th pick / 2017,1077635.0
Ricky Seals-Jones,,,,,,,,,,,,,,,Q,O,86.0,23.0,te,15.0,5.0,243.0,2020-06-05,Texas A&M,1995-03-15,1,2.0,,555000.0
A.Q. Shipley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Andre Smith,,O,O,Q,,Q,,,,,,,,,,,71.0,31.0,RT,8.0,8.0,330.0,2020-06-04,Alabama,1987-01-25,9,3.0,Cincinnati Bengals / 1st / 6th pick / 2009,915000.0
Jamar Taylor,,,,,Q,,Q,,,,,,,,,,,,,,,,,,,,,,
Jeremy Vujnovich,,,,,,,O,O,Q,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
John Wetzel,,,,,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chad Williams,,,,,,,,,O,O,O,Q,Q,Q,,,10.0,24.0,WR,10.0,7.0,204.0,2020-06-02,Grambling St.,1994-10-19,1,1.0,Arizona Cardinals / 3rd / 98th pick / 2017,581500.0
