Player ,09/08vs. LAR,09/12vs. TAM,09/22vs. ARI,09/29vs. HOU,10/06vs. JAX,10/13vs. TAM,10/27vs. SFO,11/03vs. TEN,11/10vs. GNB,11/17vs. ATL,11/24vs. NOR,12/01vs. WAS,12/08vs. ATL,12/15vs. SEA,12/22vs. IND,12/29vs. NOR,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Dillon Gordon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Greene,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Woodrow Hamilton,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,
Marquis Haynes,,,,Q,,,,,,,,,,O,O,Q,,,,,,,,,,,,,
Chris Hogan,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,
Bruce Irvin,O,O,O,Q,,,,,,,,,,,,,55.0,32.0,ROLB,13.0,12.0,250.0,2020-06-03,West Virginia,1987-11-01,7,5.0,Seattle Seahawks / 1st / 15th pick / 2012,1250000.0
Donte Jackson,,,,Q,O,Q,,,,Q,,,,,,,26.0,24.0,LCB,13.0,10.0,180.0,2020-05-10,LSU,1995-11-08,1,4.0,Carolina Panthers / 2nd / 55th pick / 2018,698751.0
Natrell Jamerson,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tyler Larsen,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,
Greg Little,O,,,,O,O,O,O,O,,Q,D,O,IR,IR,IR,,,,,,,,,,,,,
Chris Manhertz,,,,,O,Q,,,,,,,,,,,82.0,27.0,te,15.0,6.0,255.0,2020-06-06,Canisius,1992-04-10,5,0.0,,
Gerald McCoy,,,,,Q,,,,,,,,,,,,93.0,31.0,DT,16.0,16.0,300.0,2020-06-04,Oklahoma,1988-02-25,9,6.0,Tampa Bay Buccaneers / 1st / 3rd pick / 2010,3000000.0
Garrett McGhin,,,,,,,,,,,,,Q,D,IR,IR,,,,,,,,,,,,,
Christian Miller,,,,,,O,O,Q,,,,,,,,,,,,,,,,,,,,,
D.J. Moore,,,,,,,,,,,,,,,,O,12.0,22.0,WR,15.0,15.0,215.0,2020-05-11,Maryland,1997-04-14,1,8.0,Carolina Panthers / 1st / 24th pick / 2018,987787.0
Taylor Moton,,,,,,,,,,,,Q,,,,,72.0,25.0,RT,16.0,16.0,325.0,2020-06-05,West. Michigan,1994-08-14,2,7.0,Carolina Panthers / 2nd / 64th pick / 2017,843014.0
Cam Newton,,,O,O,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kitt O'Brien,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Greg Olsen,,Q,Q,,,,,,,,,,O,O,,,88.0,34.0,TE,14.0,14.0,255.0,2020-06-05,Miami (FL),1985-03-11,12,4.0,Chicago Bears / 1st / 31st pick / 2007,1900000.0
Matt Paradis,,,,,,,,,,,,,,,Q,,61.0,30.0,C,16.0,16.0,300.0,2020-06-03,Boise St.,1989-10-12,5,6.0,Denver Broncos / 6th / 207th pick / 2014,1000000.0
Damian Parms,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,
Dontari Poe,,,,,,,,,,,,IR,IR,IR,IR,IR,95.0,29.0,NT,11.0,10.0,346.0,2020-06-03,Memphis,1990-08-18,7,4.0,Kansas City Chiefs / 1st / 11th pick / 2012,4500000.0
Eric Reid,,,,,Q,Q,,,,,,Q,,Q,,,25.0,28.0,SS,16.0,16.0,215.0,2020-06-01,LSU,1991-12-10,6,5.0,San Francisco 49ers / 1st / 18th pick / 2013,1500000.0
Curtis Samuel,,,,,,,,Q,,,,,,,Q,,10.0,23.0,WR,16.0,15.0,195.0,2020-05-11,Ohio St.,1996-08-11,2,5.0,Carolina Panthers / 2nd / 40th pick / 2017,1051698.0
Jordan Scarlett,,,,,,,,,,,,O,IR,IR,IR,IR,,,,,,,,,,,,,
Kawann Short,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Shaq Thompson,,,,,,Q,,,,,,,,,O,O,54.0,25.0,LILB,14.0,14.0,230.0,2000-06-01,Washington,1994-04-21,4,6.0,Carolina Panthers / 1st / 25th pick / 2015,9232000.0
Trai Turner,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,
Destiny Vaeao,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Van Roten,,,,,,,,,,,,IR,IR,IR,IR,IR,73.0,29.0,G,11.0,11.0,305.0,2020-06-03,Pennsylvania,1990-02-26,7,4.0,,805000.0
