Player ,09/10vs. ATL,09/17vs. TAM,09/24vs. PIT,09/28vs. GNB,10/09vs. MIN,10/15vs. BAL,10/22vs. CAR,10/29vs. NOR,11/12vs. GNB,11/19vs. DET,11/26vs. PHI,12/03vs. SFO,12/10vs. CIN,12/16vs. DET,12/24vs. CLE,12/31vs. MIN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Jordan Howard,,Q,,,,,,,,,,,,,,,24.0,23.0,RB,16.0,16.0,224.0,2000-06-01,Indiana,1994-11-02,1,7.0,Chicago Bears / 5th / 150th pick / 2016,540000
Dontrelle Inman,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Isaiah Irving,,,,,,,,,,,,O,IR,IR,IR,IR,,,,,,,,,,,,,
Christian Jones,,Q,,,,,,,,,,,,,,,52.0,26.0,LILB,16.0,11.0,250.0,2020-06-03,Florida St.,1991-02-18,3,7.0,,1000000
Eric Kush,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Nick Kwiatkoski,,,O,D,D,Q,Q,,,,,,,,,,,,,,,,,,,,,,
Cre'von LeBlanc,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Kyle Long,Q,Q,,,,,,,Q,,Q,,IR,IR,IR,IR,75.0,29.0,RG,10.0,9.0,332.0,2020-06-06,Oregon,1988-12-05,4,3.0,Chicago Bears / 1st / 20th pick / 2013,6250000
Bobby Massie,,,,,,,,,,,,,,,,D,70.0,28.0,RT,15.0,15.0,325.0,2020-06-06,Mississippi,1989-08-01,5,7.0,Arizona Cardinals / 4th / 112th pick / 2012,4200000
Sherrick McManis,,,,,,,D,D,Q,,,,,,,,,,,,,,,,,,,,
Pernell McPhee,Q,,,,,,,,,,Q,,D,,IR,IR,,,,,,,,,,,,,
Cameron Meredith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Zach Miller,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,86.0,33.0,te,8.0,6.0,245.0,2020-06-05,Nebraska-Omaha,1984-10-04,8,2.0,Jacksonville Jaguars / 6th / 180th pick / 2009,1500000
Chris Prosinski,,,,,,,,,,,,,,,Q,IR,,,,,,,,,,,,,
Rueben Randle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Roy Robertson-Harris,,,,,,,,D,Q,,D,,,,,,,,,,,,,,,,,,
Mark Sanchez,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Cairo Santos,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Patrick Scales,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Adam Shaheen,,,,,,,,,,,,,,Q,Q,Q,87.0,23.0,FB,13.0,7.0,257.0,2020-06-06,Ashland,1994-10-24,Rook,1.0,Chicago Bears / 2nd / 45th pick / 2017,465000
Dion Sims,,,,,,,,,Q,Q,Q,,,,,,88.0,26.0,TE,14.0,14.0,268.0,2020-06-04,Michigan St.,1991-02-18,4,1.0,Miami Dolphins / 4th / 106th pick / 2013,2000000
Josh Sitton,,,D,Q,,,,,,,,Q,,,D,D,71.0,31.0,LG,13.0,13.0,318.0,2020-06-03,Central Florida,1986-06-16,9,5.0,Green Bay Packers / 4th / 135th pick / 2008,4650000
John Timu,,,,,,O,D,D,,,,,,,,,,,,,,,,,,,,,
Danny Trevathan,,,,,,,,,Q,Q,D,,,,,,59.0,27.0,RILB,12.0,12.0,237.0,2000-06-01,Kentucky,1990-03-24,5,7.0,Denver Broncos / 6th / 188th pick / 2012,2000000
Mitch Unrein,,,,,,,,,,,Q,,IR,IR,IR,IR,98.0,30.0,RDE,12.0,8.0,301.0,2020-06-04,Wyoming,1987-03-25,6,8.0,,1000000
Markus Wheaton,Q,Q,,,,O,O,D,,,,,,,,,,,,,,,,,,,,,
Kevin White,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Willie Young,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,97.0,32.0,,4.0,2.0,251.0,2020-06-05,North Carolina St.,1985-09-19,7,1.0,Detroit Lions / 7th / 213th pick / 2010,"$1,000,00"
