Player ,09/11vs. JAX,09/18vs. MIN,09/25vs. DET,10/09vs. NYG,10/16vs. DAL,10/20vs. CHI,10/30vs. ATL,11/06vs. IND,11/13vs. TEN,11/20vs. WAS,11/28vs. PHI,12/04vs. HOU,12/11vs. SEA,12/18vs. CHI,12/24vs. MIN,01/01vs. DET,01/08vs. NYG,01/15vs. DAL,01/22vs. ATL,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Clay Matthews,,,Q,,,,Q,Q,O,Q,,Q,Q,,,,,,,52.0,30.0,ROLB,12.0,9.0,255.0,2020-06-03,USC,1986-05-14,7,4.0,Green Bay Packers / 1st / 26th pick / 2009,13750000.0
Christine Michael,,,,,,,,,Q,,,,,Q,,,,,Q,,,,,,,,,,,,,
Ty Montgomery,,,,,,,Q,,,,,,,,,,,,,88.0,23.0,RB,15.0,6.0,216.0,2000-06-01,Stanford,1993-01-22,1,7.0,Green Bay Packers / 3rd / 94th pick / 2015,693386.0
Jordy Nelson,,,,,,,,,,,,,,,,,,O,Q,87.0,31.0,WR,16.0,16.0,217.0,2020-06-03,Kansas St.,1985-05-31,8,13.0,Green Bay Packers / 2nd / 36th pick / 2008,8300000.0
Nick Perry,,,,,,,,,,,,,O,D,Q,,Q,,,53.0,26.0,ROLB,14.0,12.0,265.0,2020-06-03,USC,1990-04-12,4,6.0,Green Bay Packers / 1st / 28th pick / 2012,4875000.0
Damarious Randall,,,,Q,Q,O,O,O,O,O,Q,Q,Q,Q,Q,Q,Q,Q,,23.0,24.0,LCB,10.0,9.0,196.0,2020-05-11,Arizona St.,1992-08-29,1,3.0,Green Bay Packers / 1st / 30th pick / 2015,1799030.0
Aaron Ripkowski,,,,,,,,,,,,,,Q,,,Q,,,22.0,24.0,RB,16.0,8.0,246.0,2020-06-01,Oklahoma,1992-12-20,1,2.0,Green Bay Packers / 6th / 206th pick / 2015,551599.0
Aaron Rodgers,,,,,,,,,,,,Q,,Q,,,,,,,,,,,,,,,,,,
Quinten Rollins,,,,,Q,O,O,Q,,,,,,,,,O,Q,Q,24.0,24.0,DB,13.0,10.0,195.0,2020-05-11,Miami (OH),1992-07-15,1,3.0,Green Bay Packers / 2nd / 62nd pick / 2015,850583.0
Jake Ryan,,,,,,,,,,O,Q,Q,,,,,,,,47.0,24.0,LILB,14.0,10.0,240.0,2020-06-02,Michigan,1992-02-27,1,5.0,Green Bay Packers / 4th / 129th pick / 2015,639169.0
Sam Shields,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
James Starks,,,,,Q,O,O,O,Q,,,,,D,O,O,O,O,O,,,,,,,,,,,,,
Kyle Steuck,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Joe Thomas,,,,,,,,,,,,,,,,Q,Q,,,48.0,25.0,lilb,16.0,7.0,232.0,2020-06-01,South Carolina St.,1991-05-06,2,5.0,,525000.0
J.C. Tretter,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,73.0,25.0,c,7.0,7.0,307.0,2020-06-04,Cornell,1991-02-12,3,4.0,Green Bay Packers / 4th / 122nd pick / 2013,778977.0
