Player ,09/11vs. PHI,09/18vs. BAL,09/25vs. MIA,10/02vs. WAS,10/09vs. NWE,10/16vs. TEN,10/23vs. CIN,10/30vs. NYJ,11/06vs. DAL,11/10vs. BAL,11/20vs. PIT,11/27vs. NYG,12/11vs. CIN,12/18vs. BUF,12/24vs. SDG,01/01vs. PIT,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Cameron Erving,,,O,O,O,,,,Q,,,,,,,,74.0,24.0,C,13.0,13.0,313.0,2020-06-05,Florida St.,1992-08-23,1,5.0,Cleveland Browns / 1st / 19th pick / 2015,2142969.0
John Greco,,,,,,,,,,,,,IR,IR,IR,IR,77.0,31.0,RG,12.0,12.0,318.0,2020-06-04,Toledo,1985-03-24,8,4.0,St. Louis Rams / 3rd / 65th pick / 2008,2925000.0
Robert Griffin III,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,10.0,26.0,qb,5.0,5.0,213.0,2020-06-02,Baylor,1990-02-12,4,3.0,Washington Redskins / 1st / 2nd pick / 2012,5046875.0
Joe Haden,,,Q,Q,,Q,D,Q,,,,,,,,Q,23.0,27.0,LCB,13.0,13.0,195.0,2020-05-11,Florida,1989-04-14,6,5.0,Cleveland Browns / 1st / 7th pick / 2010,13400000.0
Rannell Hall,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cam Johnson,,,,,,,,,,,,,,,,Q,57.0,26.0,LOLB,12.0,9.0,272.0,2020-06-04,Virginia,1990-05-24,4,4.0,San Francisco 49ers / 7th / 237th pick / 2012,432348.0
Duke Johnson,,,,,,,,,,,,,,,,Q,29.0,23.0,rb,16.0,1.0,210.0,2020-05-09,Miami (FL),1993-09-23,1,5.0,Cleveland Browns / 3rd / 77th pick / 2015,732523.0
Cody Kessler,,,,,,,,O,,,,O,,,,,6.0,23.0,QB,9.0,8.0,215.0,2020-06-01,USC,1993-05-11,Rook,3.0,Cleveland Browns / 3rd / 93rd pick / 2016,616197.0
Derrick Kindred,,,,,,,,,,,,,IR,IR,IR,IR,30.0,23.0,ss,12.0,5.0,208.0,2020-05-10,TCU,1993-12-15,Rook,2.0,Cleveland Browns / 4th / 129th pick / 2016,574839.0
Nile Lawrence-Stample,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ricardo Louis,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,
Patrick Murray,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Carl Nassib,,,O,O,Q,,,,,,,,,,,,,,,,,,,,,,,,
Rajion Neal,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Nate Orchard,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Dennis Parks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jordan Poyer,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,33.0,25.0,fs,6.0,6.0,191.0,2000-06-01,Oregon St.,1991-04-25,3,2.0,Philadelphia Eagles / 7th / 218th pick / 2013,675000.0
Austin Reiter,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ed Reynolds,,,,,,,,,,,,Q,,,,,39.0,25.0,FS,10.0,7.0,207.0,2020-06-01,Stanford,1991-10-18,2,2.0,Philadelphia Eagles / 5th / 162nd pick / 2014,525000.0
Jamar Taylor,,,,,,,,Q,Q,O,,,,,,,21.0,26.0,RCB,15.0,14.0,192.0,2020-05-11,Boise St.,1990-09-29,3,5.0,Miami Dolphins / 2nd / 54th pick / 2013,899475.0
Randall Telfer,,,,,O,O,Q,,,,,,,,Q,,86.0,24.0,TE,14.0,5.0,250.0,2020-06-04,USC,1992-05-16,Rook,0.0,Cleveland Browns / 6th / 198th pick / 2015,479384.0
Tramon Williams,,,,D,Q,Q,,,,,Q,Q,,,,,22.0,33.0,lcb,12.0,7.0,191.0,2020-05-11,Louisiana Tech,1983-03-16,9,3.0,,6200000.0
Glenn Winston,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Dylan Wynn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
