Player ,09/10vs. NYJ,09/16vs. SFO,09/23vs. NWE,09/30vs. DAL,10/07vs. GNB,10/21vs. MIA,10/28vs. SEA,11/04vs. MIN,11/11vs. CHI,11/18vs. CAR,11/22vs. CHI,12/02vs. LAR,12/09vs. ARI,12/16vs. BUF,12/23vs. MIN,12/30vs. GNB,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Devon Kennard,,,,,,,,,,,,,Q,Q,Q,,42.0,27.0,LLB,15.0,15.0,256.0,2020-06-03,USC,1991-06-24,4,7.0,New York Giants / 5th / 174th pick / 2014,2250000.0
T.J. Lang,,O,Q,,O,Q,,Q,IR,IR,IR,IR,IR,IR,IR,IR,76.0,31.0,rg,6.0,6.0,315.0,2020-06-04,East. Michigan,1987-09-20,9,3.0,Green Bay Packers / 4th / 109th pick / 2009,8000000.0
Nevin Lawson,,,,,Q,,,,,,,,,,,Q,24.0,27.0,RCB,15.0,14.0,190.0,2020-05-09,Utah St.,1991-04-23,4,5.0,Detroit Lions / 4th / 133rd pick / 2014,2300000.0
Steve Longa,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Powell,,,,,,,,,,,,O,Q,,,,,,,,,,,,,,,,
Jalen Reeves-Maybin,,,,,,,,D,Q,,Q,Q,IR,IR,IR,IR,,,,,,,,,,,,,
Theo Riddick,,,,,,O,O,,,,,,,,,,,,,,,,,,,,,,
Michael Roberts,,,Q,O,O,Q,,,,O,Q,D,Q,IR,IR,IR,,,,,,,,,,,,,
A'Shawn Robinson,,,,,,,,,,O,Q,,,,,O,91.0,23.0,ldt,13.0,7.0,330.0,2020-06-04,Alabama,1995-03-21,2,5.0,Detroit Lions / 2nd / 46th pick / 2016,925785.0
DeShawn Shead,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,
Darius Slay,,,Q,,,,,Q,O,,Q,,Q,,,,,,,,,,,,,,,,
Matthew Stafford,,,,,,,,,,,,,Q,Q,Q,,9.0,30.0,QB,16.0,16.0,220.0,2020-06-03,Georgia,1988-02-07,9,10.0,Detroit Lions / 1st / 1st pick / 2009,9500000.0
Golden Tate,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Wagner,,,,,,,,,,,,,,O,,,71.0,29.0,RT,15.0,15.0,313.0,2020-06-06,Wisconsin,1989-10-21,5,8.0,Baltimore Ravens / 5th / 168th pick / 2013,3000000.0
Tracy Walker,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Charles Washington,,,,,,,,,,,,,,IR,O,IR,,,,,,,,,,,,,
Cornelius Washington,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Luke Willson,,,,,,,,,Q,,,,,,,O,82.0,28.0,TE,14.0,8.0,255.0,2020-06-05,Rice,1990-01-15,5,1.0,Seattle Seahawks / 5th / 158th pick / 2013,1500000.0
Tavon Wilson,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Zach Zenner,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,
