Player ,09/10vs. PIT,09/20vs. BUF,09/27vs. JAX,10/11vs. DAL,10/18vs. IND,10/25vs. NYJ,10/29vs. MIA,11/08vs. WAS,11/15vs. NYG,11/23vs. BUF,11/29vs. DEN,12/06vs. PHI,12/13vs. HOU,12/20vs. TEN,12/27vs. NYJ,01/03vs. MIA,01/16vs. KAN,01/24vs. DEN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Eric Martin,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,
Keshawn Martin,,,,,,Q,Q,Q,Q,Q,Q,,,,,,,,82.0,25.0,WR,9.0,8.0,190.0,2020-05-10,Michigan St.,1990-03-15,3,3.0,Houston Texans / 4th / 121st pick / 2012,621176.0
Shaq Mason,,,,,,Q,Q,Q,Q,P,,,,,,,,,69.0,22.0,LG,14.0,10.0,310.0,2020-06-01,Georgia Tech,1993-08-28,Rook,6.0,New England Patriots / 4th / 131st pick / 2015,545881.0
Jerod Mayo,,,,,,,,,,,,,,,,,,IR,51.0,29.0,MLB,16.0,8.0,230.0,2020-06-02,Tennessee,1986-02-23,7,5.0,New England Patriots / 1st / 10th pick / 2008,6100000.0
Devin McCourty,,,,,,,,,,,,,P,Q,Q,Q,P,P,32.0,28.0,FS,14.0,14.0,195.0,2020-05-10,Rutgers,1987-08-13,5,6.0,New England Patriots / 1st / 27th pick / 2010,6000000.0
Rob Ninkovich,,,,,,,,,,,,,,,,Q,Q,Q,50.0,31.0,LDE,16.0,16.0,260.0,2020-06-02,Purdue,1984-02-01,9,9.0,New Orleans Saints / 5th / 135th pick / 2006,4750000.0
Darryl Roberts,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Logan Ryan,,,P,,,,,,,,,,,,,,,,26.0,24.0,RCB,16.0,14.0,195.0,2020-05-11,Rutgers,1991-02-09,2,6.0,New England Patriots / 3rd / 83rd pick / 2013,745813.0
Jabaal Sheard,,,,,,O,O,O,Q,P,,,,,,,,,,,,,,,,,,,,,
Sealver Siliga,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
Matthew Slater,,,,,,Q,,,,,,,Q,Q,,,,Q,,,,,,,,,,,,,
Nate Solder,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bryan Stork,IR,IR,IR,IR,IR,IR,IR,,,,,,,P,,,,Q,66.0,25.0,c,8.0,6.0,315.0,2020-06-04,Florida St.,1990-11-15,1,4.0,New England Patriots / 4th / 105th pick / 2014,545955.0
Brian Tyms,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sebastian Vollmer,,,,,,,,,O,Q,,,,,,O,Q,Q,76.0,31.0,LT,14.0,13.0,315.0,2020-06-08,Houston,1984-07-10,6,9.0,New England Patriots / 2nd / 58th pick / 2009,7020833.0
LaAdrian Waddle,,,,,,,,,,,,,,,,Q,Q,Q,,,,,,,,,,,,,
Ryan Wendell,,O,O,P,,,,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Michael Williams,,,,,,,,,,,Q,Q,P,,,,,,85.0,25.0,TE,15.0,9.0,269.0,2020-06-06,Alabama,1990-09-08,2,0.0,Detroit Lions / 7th / 211th pick / 2013,435000.0
Tavon Wilson,Q,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
