Player ,09/09vs. HOU,09/16vs. JAX,09/23vs. DET,09/30vs. MIA,10/04vs. IND,10/14vs. KAN,10/21vs. CHI,10/29vs. BUF,11/04vs. GNB,11/11vs. TEN,11/25vs. NYJ,12/02vs. MIN,12/09vs. MIA,12/16vs. PIT,12/23vs. BUF,12/30vs. NYJ,01/13vs. LAC,01/20vs. KAN,02/03vs. LAR,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Sony Michel,Q,Q,,,,Q,Q,D,Q,Q,Q,,,,,,,,,26.0,23.0,RB,13.0,8.0,215.0,2020-05-11,Georgia,1995-02-17,Rook,7.0,New England Patriots / 1st / 31st pick / 2018,480000.0
Cordarrelle Patterson,,,,,,,,,Q,,,,,,,Q,,,,84.0,27.0,wr,15.0,5.0,238.0,2020-06-02,Tennessee,1991-03-17,5,5.0,Minnesota Vikings / 1st / 29th pick / 2013,3000000.0
Elandon Roberts,,,,,Q,,,,,,,,,Q,,,,,,52.0,24.0,RLB,16.0,11.0,238.0,2000-06-01,Houston,1994-04-22,2,6.0,New England Patriots / 6th / 214th pick / 2016,630000.0
Eric Rowe,,,Q,Q,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Christian Sam,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brian Schwenke,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Danny Shelton,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
John Simon,,,,,,Q,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,,,
Matthew Slater,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,
Nate Theaker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
LaAdrian Waddle,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
Deatrich Wise Jr.,,,,,,,Q,Q,,,,,,,,,Q,,,,,,,,,,,,,,,
Isaiah Wynn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
