Player ,09/13vs. CAR,09/20vs. MIA,09/27vs. NWE,10/04vs. IND,10/11vs. TAM,10/18vs. HOU,10/25vs. BUF,11/08vs. NYJ,11/15vs. BAL,11/19vs. TEN,11/29vs. SDG,12/06vs. TEN,12/13vs. IND,12/20vs. ATL,12/27vs. NOR,01/03vs. HOU,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Johnathan Cyprien,P,D,Q,,,,P,,,,,P,P,,,P,37.0,25.0,SS,14.0,14.0,211.0,2020-06-01,Florida International,1990-07-29,2,5.0,Jacksonville Jaguars / 2nd / 33rd pick / 2013,1491574.0
Ryan Davis,,,,,,,,,,,,,Q,D,P,,,,,,,,,,,,,,
Josh Evans,,P,,P,,,,P,,,,P,,,,,26.0,24.0,FS,16.0,12.0,207.0,2020-06-01,Florida,1991-06-05,2,4.0,Jacksonville Jaguars / 6th / 169th pick / 2013,617205.0
Dante Fowler,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Toby Gerhart,Q,D,P,,,,,,P,P,P,O,IR,IR,IR,IR,,,,,,,,,,,,,
Corey Grant,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Dwayne Gratz,,O,O,,,,,,,,,,,Q,P,,,,,,,,,,,,,,
Rashad Greene,,P,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,
Clay Harbor,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,
Evander Hood,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,,,,,,,,,,,,,
Davon House,,,,P,P,P,,,,,,,,,,,31.0,26.0,LCB,16.0,15.0,195.0,2000-06-01,New Mexico St.,1989-07-10,4,6.0,Green Bay Packers / 4th / 131st pick / 2011,6500000.0
Allen Hurns,,,P,P,P,P,P,P,Q,P,P,O,,P,P,P,88.0,24.0,WR,15.0,15.0,195.0,2020-06-03,Miami (FL),1991-11-12,1,8.0,,511666.0
Nic Jacobs,,,,,,,,,,D,P,,Q,Q,P,,,,,,,,,,,,,,
Luke Joeckel,,Q,Q,,,,,,,,,,,,,P,76.0,24.0,LT,14.0,14.0,306.0,2020-06-06,Texas A&M,1991-11-06,2,8.0,Jacksonville Jaguars / 1st / 2nd pick / 2013,5782254.0
Abry Jones,,,,,,P,,,,,,,,,,O,,,,,,,,,,,,,
Marqise Lee,D,P,P,O,O,O,O,D,Q,P,,,,,,,,,,,,,,,,,,,
Marcedes Lewis,,,,,P,,,,,,,P,,,,,89.0,31.0,TE,16.0,16.0,267.0,2020-06-06,UCLA,1984-05-19,9,2.0,Jacksonville Jaguars / 1st / 28th pick / 2006,3850000.0
Brandon Linder,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Craig Loston,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,
John Lotulelei,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,
Sen'Derrick Marks,O,O,D,O,Q,P,P,,,O,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Demetrius McCray,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,
Roy Miller,,,,P,,,,,,P,P,P,P,P,P,P,97.0,28.0,RDT,16.0,16.0,301.0,2020-06-01,Texas,1987-07-09,6,6.0,Tampa Bay Buccaneers / 3rd / 81st pick / 2009,3850000.0
Jason Myers,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,
Jared Odrick,,,,,,,,,,,,,,,,P,75.0,28.0,RDE,16.0,16.0,301.0,2020-06-05,Penn St.,1987-12-31,5,7.0,Miami Dolphins / 1st / 28th pick / 2010,9000000.0
Jermey Parnell,,,,,,P,P,,,,,,P,P,,Q,78.0,29.0,RT,15.0,15.0,326.0,2020-06-06,Mississippi,1986-07-20,4,8.0,,8000000.0
Bernard Pierce,,,,,,O,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Paul Posluszny,,,,,Q,P,,,,,,,O,P,P,,51.0,31.0,MLB,14.0,14.0,232.0,2020-06-02,Penn St.,1984-10-10,8,7.0,Buffalo Bills / 2nd / 34th pick / 2007,6885416.0
Hayes Pullard,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
LaRoy Reynolds,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Robinson,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,
Denard Robinson,,,D,O,O,P,,,,,,,,,P,,,,,,,,,,,,,,
James Sample,,,,,IR,IR,IR,IR,IR,O,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tyler Shatley,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Skuta,,,,,,,,,Q,Q,O,O,P,,P,,55.0,29.0,RLB,13.0,8.0,251.0,2020-06-02,Grand Valley St.,1986-04-21,6,4.0,,4600000.0
Telvin Smith,,,,,,,,,,,,,,,D,O,50.0,24.0,LLB,14.0,14.0,215.0,2020-06-03,Florida St.,1991-04-11,1,7.0,Jacksonville Jaguars / 5th / 144th pick / 2014,562763.0
Neal Sterling,,,,,,,,,,,D,Q,,,,,,,,,,,,,,,,,
Julius Thomas,O,O,O,O,Q,P,P,P,P,P,,,,,,,80.0,27.0,TE,12.0,10.0,256.0,2020-06-05,Portland St.,1988-06-27,4,4.0,Denver Broncos / 4th / 129th pick / 2011,10300000.0
Peyton Thompson,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,
Bryan Walters,P,,,,,,,,,Q,,Q,Q,Q,P,,,,,,,,,,,,,,
Tony Washington,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh Wells,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
T.J. Yeldon,,,,,,Q,Q,,,Q,,,P,D,D,O,24.0,22.0,RB,12.0,12.0,223.0,2020-06-01,Alabama,1993-10-02,Rook,7.0,Jacksonville Jaguars / 2nd / 36th pick / 2015,1075231.0
Sam Young,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
