Player ,09/13vs. JAX,09/20vs. HOU,09/27vs. NOR,10/04vs. TAM,10/18vs. SEA,10/25vs. PHI,11/02vs. IND,11/08vs. GNB,11/15vs. TEN,11/22vs. WAS,11/26vs. DAL,12/06vs. NOR,12/13vs. ATL,12/20vs. NYG,12/27vs. ATL,01/03vs. TAM,01/17vs. SEA,01/24vs. ARI,02/07vs. DEN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Kony Ealy,,,,,,,,,,,,P,,,,,P,,,94.0,24.0,LDE,16.0,9.0,275.0,2020-06-04,Missouri,1991-12-21,1,5.0,Carolina Panthers / 2nd / 60th pick / 2014,806098.0
Dwan Edwards,,P,,P,,O,O,O,Q,P,P,P,P,P,,,,P,,,,,,,,,,,,,,
Ted Ginn Jr.,,,,,,,,,,,P,,P,P,P,D,Q,,,19.0,30.0,WR,15.0,13.0,180.0,2020-05-11,Ohio St.,1985-04-12,8,9.0,Miami Dolphins / 1st / 9th pick / 2007,1850000.0
Tyronne Green,,,,,,,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Roman Harper,,,P,,,,,,,,,,P,P,,,,,,41.0,33.0,SS,16.0,16.0,205.0,2020-06-01,Alabama,1982-12-11,9,6.0,New Orleans Saints / 2nd / 43rd pick / 2006,1800000.0
Stephen Hill,,,,,,,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Wes Horton,,Q,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.J. Jansen,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,
Charles Johnson,,,Q,IR,IR,IR,IR,IR,IR,IR,,,,,P,,,P,,95.0,29.0,LDE,9.0,9.0,270.0,2020-06-02,Georgia,1986-07-10,8,4.0,Carolina Panthers / 3rd / 83rd pick / 2007,20020000.0
Colin Jones,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,
Ryan Kalil,P,,,,,,D,P,P,,,,P,P,,P,,,,,,,,,,,,,,,,
A.J. Klein,,,,,O,P,,,,,,,,,,,,,,56.0,24.0,mlb,15.0,6.0,240.0,2020-06-01,Iowa St.,1991-07-30,2,4.0,Carolina Panthers / 5th / 148th pick / 2013,632825.0
Luke Kuechly,,D,D,O,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Star Lotulelei,O,Q,P,,,,,,,,,P,,,,P,,,,98.0,26.0,LDT,14.0,14.0,315.0,2020-06-02,Utah,1989-12-20,2,6.0,Carolina Panthers / 1st / 14th pick / 2013,2619409.0
Kyle Love,,,P,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
David Mayo,,,,,,,,,,,,,,O,O,P,,,,,,,,,,,,,,,,
Arthur Miley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cam Newton,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,
Josh Norman,P,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Norwell,,,,,,,,O,O,O,P,,,,,,,,,68.0,24.0,LG,13.0,13.0,325.0,2020-06-06,Ohio St.,1991-10-25,1,6.0,,514000.0
Greg Olsen,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,
Amini Silatolu,,,,O,Q,,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Jonathan Stewart,,P,Q,P,,,,,P,,,,P,O,O,O,,P,,,,,,,,,,,,,,
Shaq Thompson,,,,,,O,D,P,,,,,,,,,,,,54.0,21.0,LLB,14.0,10.0,230.0,2000-06-01,Washington,1994-04-21,Rook,5.0,Carolina Panthers / 1st / 25th pick / 2015,1601586.0
Charles Tillman,,,,P,,,,,,D,D,O,D,P,,,IR,IR,IR,31.0,34.0,LCB,12.0,12.0,210.0,2020-06-02,Louisiana,1981-02-23,12,4.0,Chicago Bears / 2nd / 35th pick / 2003,1531250.0
Mike Tolbert,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
Trai Turner,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Velasco,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,
Fozzy Whittaker,,,Q,,,,,,,P,,,,,,O,O,P,,,,,,,,,,,,,,
Daryl Williams,,O,O,O,O,O,P,,,,,,,,,,,,,,,,,,,,,,,,,
Teddy Williams,P,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,
