Player ,09/13vs. SEA,09/20vs. WAS,09/27vs. PIT,10/04vs. ARI,10/11vs. GNB,10/25vs. CLE,11/01vs. SFO,11/08vs. MIN,11/15vs. CHI,11/22vs. BAL,11/29vs. CIN,12/06vs. ARI,12/13vs. DET,12/17vs. TAM,12/27vs. SEA,01/03vs. SFO,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Lamarcus Joyner,,,,,,,,,,,,,,,Q,,20.0,25.0,db,16.0,6.0,185.0,2020-05-08,Florida St.,1990-11-27,1,3.0,St. Louis Rams / 2nd / 41st pick / 2014,1143223.0
Case Keenum,,,,,,,,,,,Q,Q,P,,,,17.0,27.0,qb,6.0,5.0,215.0,2020-06-01,Houston,1988-02-17,3,2.0,,585000.0
Lance Kendricks,,,,,,Q,P,,,,,,P,,,,88.0,27.0,TE,15.0,12.0,250.0,2020-06-03,Wisconsin,1988-01-30,4,2.0,St. Louis Rams / 2nd / 47th pick / 2011,5600000.0
James Laurinaitis,,,,P,,,P,,,,,,,,,,55.0,29.0,MLB,16.0,16.0,255.0,2020-06-02,Ohio St.,1986-12-03,6,9.0,St. Louis Rams / 2nd / 35th pick / 2009,4275000.0
Chris Long,,,,,,O,O,O,D,Q,,,,,,,91.0,30.0,lde,12.0,5.0,270.0,2020-06-03,Virginia,1985-03-28,7,3.0,St. Louis Rams / 1st / 2nd pick / 2008,12500000.0
Bradley Marquez,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Tre Mason,Q,Q,,,,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,
T.J. McDonald,,,,,,,Q,Q,Q,,,,O,IR,IR,IR,25.0,24.0,SS,11.0,11.0,215.0,2020-06-02,USC,1991-01-26,2,4.0,St. Louis Rams / 3rd / 71st pick / 2013,2356000.0
Alec Ogletree,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eric Patterson,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Robert Quinn,,,,,P,P,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR,94.0,25.0,rde,8.0,7.0,257.0,2020-06-04,North Carolina,1990-05-18,4,4.0,St. Louis Rams / 1st / 14th pick / 2011,16744111.0
Chase Reynolds,,O,P,D,P,,,Q,P,,,,,,,,,,,,,,,,,,,,
Rodger Saffold,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,76.0,27.0,rg,5.0,5.0,323.0,2020-06-05,Indiana,1988-06-06,5,2.0,St. Louis Rams / 2nd / 33rd pick / 2010,8250000.0
Eugene Sims,,O,P,O,Q,,,,,,,,,,,,97.0,29.0,RDE,13.0,9.0,240.0,2020-06-05,West Texas A&M,1986-03-18,5,6.0,St. Louis Rams / 6th / 189th pick / 2010,2391686.0
Wes Welker,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,
Ethan Westbrooks,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,
Damian Williams,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Doug Worthington,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Greg Zuerlein,,,,,,,,,,,Q,D,P,,,,,,,,,,,,,,,,
