Player ,09/10vs. JAX,09/14vs. CIN,09/24vs. NWE,10/01vs. TEN,10/08vs. KAN,10/15vs. CLE,10/29vs. SEA,11/05vs. IND,11/12vs. LAR,11/19vs. ARI,11/27vs. BAL,12/03vs. TEN,12/10vs. SFO,12/17vs. JAX,12/25vs. PIT,12/31vs. IND,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
MyCole Pruitt,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
D.J. Reader,,,,,,,,,,,,,,,IR,IR,98.0,23.0,LDE,14.0,14.0,347.0,2020-06-03,Clemson,1994-07-01,1,6.0,Houston Texans / 5th / 166th pick / 2016,540000.0
Tom Savage,,,,,,,,,,,,,,IR,IR,IR,3.0,27.0,QB,8.0,7.0,230.0,2020-06-04,"Pittsburgh,Rutgers",1990-04-26,3,3.0,Houston Texans / 4th / 135th pick / 2014,690000.0
Brennan Scarlett,,,,,,,,,,,,IR,IR,IR,IR,IR,57.0,24.0,lolb,11.0,5.0,263.0,2020-06-04,"California,Stanford",1993-07-31,1,2.0,,540000.0
Devin Street,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Xavier Su'a-Filo,,,,,,,,,,,,,Q,,,,71.0,26.0,LG,16.0,16.0,310.0,2020-06-04,UCLA,1991-01-01,3,6.0,Houston Texans / 2nd / 33rd pick / 2014,1177036.0
Chris Thompson,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Jordan Todman,,,,,,O,,,,,,,,,,O,,,,,,,,,,,,,
Deshaun Watson,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,4.0,22.0,qb,7.0,6.0,220.0,2020-06-02,Clemson,1995-09-14,Rook,7.0,Houston Texans / 1st / 12th pick / 2017,465000.0
J.J. Watt,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,99.0,28.0,LDE,5.0,5.0,288.0,2020-06-05,"Central Michigan,Wisconsin",1989-03-22,6,2.0,Houston Texans / 1st / 11th pick / 2011,10500000.0
DeAndrew White,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,,,,,,,,,,,,,
