Player ,09/08vs. JAX,09/15vs. OAK,09/22vs. BAL,09/29vs. DET,10/06vs. IND,10/13vs. HOU,10/17vs. DEN,10/27vs. GNB,11/03vs. MIN,11/10vs. TEN,11/18vs. LAC,12/01vs. OAK,12/08vs. NWE,12/15vs. DEN,12/22vs. CHI,12/29vs. LAC,01/12vs. HOU,01/19vs. TEN,02/02vs. SFO,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Tyreek Hill,,O,O,O,O,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Hitchens,,,,,,Q,,,,,,,,,,,,,,53.0,27.0,LLB,15.0,15.0,235.0,2000-06-01,Iowa,1992-06-10,5,7.0,Dallas Cowboys / 4th / 119th pick / 2014,6500000.0
Chris Jones,,,,,,O,O,O,Q,,,,,,,,Q,Q,,,,,,,,,,,,,,
Travis Kelce,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
Marcus Kemp,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Anthony Lanier,,,,,,,,,,,,,,,,,/,/,/,,,,,,,,,,,,,
Darron Lee,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
John Lovett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jordan Lucas,Q,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Alize Mack,,,,,,,,,,,,,,,,,/,/,/,,,,,,,,,,,,,
Patrick Mahomes,,,,,,,,O,Q,,,,,,,,,,,,,,,,,,,,,,,
Marcus Marshall,,,,,,,,,,,,,,,,,/,/,/,,,,,,,,,,,,,
LeSean McCoy,,,Q,,,,,,,,,,,,,,,Q,,25.0,31.0,RB,13.0,9.0,210.0,2020-05-11,Pittsburgh,1988-07-12,10,6.0,Philadelphia Eagles / 2nd / 53rd pick / 2009,
Matt Moore,,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Dorian O'Daniel,,,,,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmanuel Ogbah,,,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Alex Okafor,,,,,Q,,,,O,O,O,,,,IR,IR,IR,IR,IR,97.0,28.0,LDE,10.0,9.0,261.0,2020-06-04,Texas,1991-02-08,6,4.0,Arizona Cardinals / 4th / 103rd pick / 2013,805000.0
Martinas Rankin,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,74.0,25.0,lg,6.0,5.0,311.0,2020-06-05,Mississippi St.,1994-10-20,1,3.0,Houston Texans / 3rd / 80th pick / 2018,
Keith Reaser,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Greg Senat,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Breeland Speaks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,IR,IR,IR,,,,,,,,,,,,,
Juan Thornhill,,,,,,,,,,,,,,,,,IR,IR,IR,22.0,24.0,FS,16.0,16.0,205.0,2000-06-01,Virginia,1995-10-19,Rook,6.0,Kansas City Chiefs / 2nd / 63rd pick / 2019,495000.0
Tim Ward,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Spencer Ware,,,,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Sammy Watkins,,,,,Q,D,O,,,,,,,,,,,,,14.0,26.0,WR,14.0,13.0,211.0,2020-06-01,Clemson,1993-06-14,5,7.0,Buffalo Bills / 1st / 4th pick / 2014,11950000.0
David Wells,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Damien Williams,,,O,O,Q,,,,,,Q,O,O,Q,,,,,,26.0,27.0,rb,11.0,6.0,224.0,2020-05-11,Oklahoma,1992-04-03,5,6.0,,1050000.0
Darrel Williams,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Xavier Williams,Q,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,,,,,,,,,,,,,,
Andrew Wylie,,,,,,D,O,O,,,,,,,O,Q,,,,77.0,25.0,LG,11.0,11.0,309.0,2020-06-06,East. Michigan,1994-08-19,1,6.0,,570000.0
