Player ,09/08vs. IND,09/15vs. DET,09/22vs. HOU,09/29vs. MIA,10/06vs. DEN,10/13vs. PIT,10/20vs. TEN,10/27vs. CHI,11/03vs. GNB,11/07vs. OAK,11/18vs. KAN,12/01vs. DEN,12/08vs. JAX,12/15vs. MIN,12/22vs. OAK,12/29vs. KAN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Dontrelle Inman,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,
Justin Jackson,,,,O,D,D,O,Q,,D,D,,,,Q,,,,,,,,,,,,,,
Derwin James,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,33.0,23.0,fs,5.0,5.0,215.0,2020-06-02,Florida St.,1996-08-03,1,2.0,Los Angeles Chargers / 1st / 17th pick / 2018,1043134.0
Tre'von Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,
Justin Jones,,,,,,,O,O,D,O,,,,,,,93.0,23.0,LDT,12.0,12.0,309.0,2020-06-03,North Carolina St.,1996-08-28,1,5.0,Los Angeles Chargers / 3rd / 84th pick / 2018,621481.0
Desmond King,,,,,,,,,,,,,,O,,,20.0,25.0,DB,15.0,8.0,200.0,2020-05-10,Iowa,1994-12-14,2,5.0,Los Angeles Chargers / 5th / 151st pick / 2017,645000.0
Forrest Lamp,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Koda Martin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Vince Mayle,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Mazza,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Brandon Mebane,,,,,,,O,O,D,Q,,,,,,,92.0,34.0,NT,13.0,13.0,311.0,2020-06-01,California,1985-01-15,12,6.0,Seattle Seahawks / 3rd / 85th pick / 2007,1050000.0
Uchenna Nwosu,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
Russell Okung,IR,IR,IR,IR,IR,IR,IR,IR,,,Q,Q,,,D,O,76.0,31.0,lt,6.0,6.0,310.0,2020-06-05,Oklahoma St.,1988-10-07,9,3.0,Seattle Seahawks / 1st / 6th pick / 2010,13000000.0
Andre Patton,,,,,,D,,,,,,,,,,,16.0,25.0,WR,13.0,5.0,200.0,2020-06-04,Rutgers,1994-05-28,1,0.0,,495000.0
Denzel Perryman,Q,Q,,,,,,,,Q,,,O,,,,52.0,27.0,MLB,14.0,10.0,240.0,2020-05-11,Miami (FL),1992-12-05,4,5.0,San Diego Chargers / 2nd / 48th pick / 2015,850000.0
Adrian Phillips,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,31.0,27.0,db,7.0,5.0,210.0,2020-05-11,Texas,1992-03-28,5,2.0,,1500000.0
Mike Pouncey,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,53.0,30.0,c,5.0,5.0,298.0,2020-06-05,Florida,1989-07-24,8,2.0,Miami Dolphins / 1st / 15th pick / 2011,6000000.0
Isaac Rochell,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damion Square,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,
Roderic Teamer,D,Q,,,,,,,D,D,Q,,O,,,,36.0,22.0,FS,7.0,6.0,205.0,2000-06-01,Tulane,1997-05-12,Rook,2.0,,495000.0
Sam Tevi,,,,,,,,,,Q,O,Q,,,,,69.0,25.0,RT,14.0,14.0,315.0,2020-06-05,Utah,1994-11-15,2,8.0,Los Angeles Chargers / 6th / 190th pick / 2017,645000.0
Drue Tranquill,Q,,,Q,,,,,,,Q,,,,,,,,,,,,,,,,,,
Andrew Vollert,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Derek Watt,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Mike Williams,,Q,,O,Q,,,,,,,,,,,,81.0,25.0,WR,15.0,15.0,220.0,2020-06-04,Clemson,1994-10-04,2,8.0,Los Angeles Chargers / 1st / 7th pick / 2017,2260448.0
Trevor Williams,O,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,,
