Player ,09/13vs. CHI,09/20vs. GNB,09/27vs. ARI,10/04vs. NOR,10/18vs. JAX,10/25vs. ATL,11/01vs. IND,11/08vs. MIN,11/15vs. WAS,11/22vs. CAR,11/26vs. HOU,12/06vs. CHI,12/13vs. GNB,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Kenny Golladay,D,O,Q,,,,,O,O,O,O,,,19.0,27.0,WR,5.0,5.0,214.0,2020-06-04,Northern Illinois,1993-11-03,3,,Detroit Lions / 3rd / 96th pick / 2017,2133000.0
Everson Griffen,,,,,,,,,,,,,C19,,,,,,,,,,,,,
Da'Shawn Hand,Q,,,Q,,,,,,Q,O,,,93.0,25.0,DE,10.0,1.0,297.0,2020-06-03,Alabama,1995-11-14,2,,Detroit Lions / 4th / 114th pick / 2018,750000.0
Will Harris,,,,,,,,,,Q,,,,25.0,25.0,S,13.0,5.0,207.0,2020-06-01,Boston Col.,1995-12-19,1,,Detroit Lions / 3rd / 81st pick / 2019,675000.0
T.J. Hockenson,,,,,,,,,Q,,,,,88.0,23.0,TE,13.0,13.0,247.0,2020-06-05,Iowa,1997-07-03,1,,Detroit Lions / 1st / 8th pick / 2019,675000.0
Christian Jones,,,,Q,,,,Q,,,,,,52.0,29.0,ILB,13.0,11.0,250.0,2020-06-03,Florida St.,1991-02-18,6,,,910000.0
Tony McRae,,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
C.J. Moore,O,Q,Q,O,Q,,,,,,,,,49.0,25.0,DB,9.0,0.0,195.0,2020-05-11,Mississippi,1995-12-15,1,,,675000.0
Jeff Okudah,Q,,,,,,,,,,O,,,,,,,,,,,,,,,
Julian Okwara,Q,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Amani Oruwariye,,,,,,,,,,,Q,,,24.0,24.0,CB,13.0,12.0,205.0,2020-06-02,Penn St.,1996-02-09,1,,Detroit Lions / 5th / 146th pick / 2019,675000.0
Reggie Ragland,,,,,,,,,,,Q,,,59.0,27.0,ILB,13.0,5.0,252.0,2020-06-02,Alabama,1993-09-23,3,,Buffalo Bills / 2nd / 41st pick / 2016,825000.0
Frank Ragnow,,,,,Q,,,,,,,,,77.0,24.0,C,13.0,13.0,311.0,2020-06-05,Arkansas,1996-05-17,2,,Detroit Lions / 1st / 20th pick / 2018,1550922.0
Jalen Reeves-Maybin,,,,,,,Q,,,,,,,44.0,25.0,OLB,13.0,0.0,233.0,2000-06-01,Tennessee,1995-01-31,3,,Detroit Lions / 4th / 124th pick / 2017,825000.0
Darryl Roberts,Q,Q,,Q,,,Q,IR,IR,IR,IR,IR,,29.0,30.0,CB,9.0,3.0,182.0,2000-06-01,Marshall,1990-11-26,4,,New England Patriots / 7th / 247th pick / 2015,1000000.0
Bo Scarbrough,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,
Danny Shelton,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Dan Skipper,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Stafford,,,,,,,,C19,,Q,,,,9.0,32.0,QB,13.0,13.0,220.0,2020-06-03,Georgia,1988-02-07,11,,Detroit Lions / 1st / 1st pick / 2009,7200000.0
D'Andre Swift,,,,,,,,,,O,Q,,,32.0,21.0,RB,10.0,1.0,212.0,2020-05-08,Georgia,1999-01-14,Rook,,Detroit Lions / 2nd / 35th pick / 2020,610000.0
Desmond Trufant,,O,D,Q,O,O,Q,,,,,IR,IR,,,,,,,,,,,,,
Halapoulivaati Vaitai,O,Q,Q,,,,,Q,Q,Q,IR,IR,IR,,,,,,,,,,,,,
Tracy Walker,,,,,,,,O,,,,,,21.0,25.0,S,12.0,5.0,210.0,2020-06-01,Louisiana,1995-02-01,2,,Detroit Lions / 3rd / 82nd pick / 2018,750000.0
Nick Williams,,Q,,,,,,,Q,,,,,97.0,30.0,DT,11.0,10.0,308.0,2020-06-04,Samford,1990-02-21,6,,Pittsburgh Steelers / 7th / 223rd pick / 2013,2900000.0
