Player ,09/08vs. BUF,09/16vs. CLE,09/22vs. NWE,10/06vs. PHI,10/13vs. DAL,10/21vs. NWE,10/27vs. JAX,11/03vs. MIA,11/10vs. NYG,11/17vs. WAS,11/24vs. OAK,12/01vs. CIN,12/08vs. MIA,12/12vs. BAL,12/22vs. PIT,12/29vs. BUF,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Jalin Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
C.J. Mosley,,O,D,D,D,Q,O,O,O,O,O,O,IR,IR,IR,IR,,,,,,,,,,,,,
Mark Myers,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,
Kelechi Osemele,,,Q,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,
Brian Poole,,,Q,,,,,,,,,,O,O,Q,Q,34.0,27.0,DB,14.0,10.0,213.0,2020-05-10,Florida,1992-10-20,3,4.0,,1000000.0
Bilal Powell,,,,,,,,,,,,,,O,Q,,,,,,,,,,,,,,
Brent Qvale,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,
Darryl Roberts,,,,,,Q,,,D,D,D,Q,,,,,27.0,29.0,CB,13.0,10.0,182.0,2000-06-01,Marshall,1990-11-26,3,4.0,New England Patriots / 7th / 247th pick / 2015,1000000.0
Nathan Shepherd,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
Trevor Siemian,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jeff Smith,,,,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Charles Tapper,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Demaryius Thomas,,Q,D,Q,Q,Q,,Q,Q,Q,Q,Q,Q,D,D,Q,18.0,32.0,WR,11.0,10.0,225.0,2020-06-03,Georgia Tech,1987-12-25,9,3.0,Denver Broncos / 1st / 22nd pick / 2010,
Quinnen Williams,,O,D,Q,,,,,,,,,,D,Q,,95.0,22.0,RDT,13.0,9.0,303.0,2020-06-03,Alabama,1997-12-05,Rook,5.0,New York Jets / 1st / 3rd pick / 2019,495000.0
Avery Williamson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brian Winters,,Q,Q,,,Q,,,Q,IR,IR,IR,IR,IR,IR,IR,67.0,28.0,RG,9.0,9.0,320.0,2020-06-04,Kent St.,1991-07-16,6,3.0,New York Jets / 3rd / 72nd pick / 2013,6000000.0
Paul Worrilow,,,,,,,,,,O,D,O,Q,,,,,,,,,,,,,,,,
