Player ,09/09vs. TEN,09/16vs. NYJ,09/23vs. OAK,09/30vs. NWE,10/07vs. CIN,10/14vs. CHI,10/21vs. DET,10/25vs. HOU,11/04vs. NYJ,11/11vs. GNB,11/25vs. IND,12/02vs. BUF,12/09vs. NWE,12/16vs. MIN,12/23vs. JAX,12/30vs. BUF,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Bobby McCain,,,,,O,Q,Q,,,,,,,,,,28.0,25.0,RCB,14.0,13.0,192.0,2020-05-11,Memphis,1993-08-18,3,4.0,Miami Dolphins / 5th / 145th pick / 2015,705000.0
T.J. McDonald,,,,,Q,Q,Q,,,,Q,,,Q,D,D,22.0,27.0,FS,14.0,14.0,215.0,2020-06-02,USC,1991-01-26,5,5.0,St. Louis Rams / 3rd / 71st pick / 2013,1500000.0
Kendrick Norton,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Brock Osweiler,,,,,,,,,,,,,,,Q,,8.0,28.0,qb,7.0,5.0,240.0,2020-06-07,Arizona St.,1990-11-22,6,3.0,Denver Broncos / 2nd / 57th pick / 2012,790000.0
DeVante Parker,D,Q,,Q,Q,Q,Q,,,,Q,Q,,,,,11.0,25.0,WR,11.0,7.0,216.0,2020-06-03,Louisville,1993-01-20,3,2.0,Miami Dolphins / 1st / 14th pick / 2015,1918165.0
Josh Sitton,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kenny Stills,,,,,,,,O,Q,,,,,,,,10.0,26.0,WR,15.0,15.0,202.0,2020-06-01,Oklahoma,1992-04-22,5,4.0,New Orleans Saints / 5th / 144th pick / 2013,7975000.0
Travis Swanson,,,,,,,,,,,,D,Q,,,,66.0,27.0,C,12.0,11.0,304.0,2020-06-05,Arkansas,1991-01-30,4,4.0,Detroit Lions / 3rd / 76th pick / 2014,743529.0
Cordrea Tankersley,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ryan Tannehill,,,,,,Q,O,O,O,O,,,,,,,17.0,30.0,QB,11.0,11.0,207.0,2020-06-04,Texas A&M,1988-07-27,6,6.0,Miami Dolphins / 1st / 8th pick / 2012,790000.0
Vincent Taylor,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Laremy Tunsil,,,,,,Q,,,,Q,,,,,,,78.0,24.0,LT,15.0,15.0,313.0,2020-06-05,Mississippi,1994-08-02,2,7.0,Miami Dolphins / 1st / 13th pick / 2016,1582514.0
Cameron Wake,,,,Q,D,D,Q,,,,,,,,,,91.0,36.0,LDE,14.0,14.0,263.0,2020-06-03,Penn St.,1982-01-30,9,6.0,,8000000.0
Albert Wilson,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jonathan Woodard,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,
Sam Young,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
