Player ,09/11vs. KAN,09/18vs. JAX,09/25vs. IND,10/02vs. NOR,10/09vs. OAK,10/13vs. DEN,10/23vs. ATL,10/30vs. DEN,11/06vs. TEN,11/13vs. MIA,11/27vs. HOU,12/04vs. TAM,12/11vs. CAR,12/18vs. OAK,12/24vs. CLE,01/01vs. KAN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Chris Hairston,,,,,,Q,,,,,,,,,,,75.0,27.0,lt,15.0,5.0,323.0,2020-06-06,Clemson,1989-04-26,5,3.0,Buffalo Bills / 4th / 122nd pick / 2011,1100000.0
Hunter Henry,,,,,,,,Q,O,Q,,,,,,,86.0,22.0,TE,15.0,10.0,250.0,2020-06-05,Arkansas,1994-12-07,Rook,4.0,San Diego Chargers / 2nd / 35th pick / 2016,1160055.0
Javontee Herndon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Steve Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tyler Johnstone,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sean Lissemore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Craig Mager,,,,,Q,Q,,O,O,Q,,,,IR,IR,O,29.0,24.0,LCB,11.0,8.0,200.0,2020-05-11,Texas St.,1992-06-11,1,3.0,San Diego Chargers / 3rd / 83rd pick / 2015,708144.0
Tyler Marcordes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Robert McClain,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Dexter McCluster,,,,,,Q,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Mebane,,,,,,,,,,,IR,IR,IR,IR,IR,IR,92.0,31.0,NT,10.0,10.0,311.0,2020-06-01,California,1985-01-15,9,4.0,Seattle Seahawks / 3rd / 85th pick / 2007,3500000.0
Branden Oliver,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tenny Palepoi,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Denzel Perryman,,,,,Q,Q,,Q,D,O,,,,,,,52.0,24.0,RILB,12.0,11.0,240.0,2020-05-11,Miami (FL),1992-12-05,1,5.0,San Diego Chargers / 2nd / 48th pick / 2015,1085562.0
Shaq Petteway,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Caraun Reid,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Manti Te'o,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jason Verrett,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chris Watt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tourek Williams,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Tyrell Williams,,,,,,,,Q,Q,Q,,Q,,,,,16.0,24.0,WR,16.0,12.0,205.0,2020-06-04,Western Oregon,1992-02-12,1,9.0,,525000.0
Danny Woodhead,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Carlos Wray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
