Player ,09/09vs. DEN,09/15vs. KAN,09/22vs. MIN,09/29vs. IND,10/06vs. CHI,10/20vs. GNB,10/27vs. HOU,11/03vs. DET,11/07vs. LAC,11/17vs. CIN,11/24vs. NYJ,12/01vs. KAN,12/08vs. TEN,12/15vs. JAX,12/22vs. LAC,12/29vs. DEN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Lamarcus Joyner,,,Q,,,,,,,O,Q,,,,,,29.0,29.0,DB,14.0,10.0,185.0,2020-05-08,Florida St.,1990-11-27,5,3.0,St. Louis Rams / 2nd / 41st pick / 2014,4700000.0
Arden Key,,,,,,O,,,O,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
D.J. Killings,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Marquel Lee,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,Q,IR,IR,,,,,,,,,,,,,
Corey Liuget,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Mauro,,,,,,,,Q,O,,,,,,,,97.0,28.0,rde,13.0,7.0,290.0,2020-06-06,Stanford,1991-02-17,5,3.0,,900000.0
Foster Moreau,,,,,,,,,,,,,,IR,IR,IR,87.0,22.0,TE,13.0,7.0,250.0,2020-06-04,LSU,1997-05-06,Rook,1.0,Oakland Raiders / 4th / 137th pick / 2019,910000.0
Nicholas Morrow,Q,,,,,,,,,,,,,,,,50.0,24.0,RLB,16.0,8.0,225.0,2000-06-01,Greenville,1995-07-10,2,4.0,,645000.0
JJ Nelson,Q,O,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Nick Nelson,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Nathan Peterman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Hunter Renfrow,,,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,
David Sharpe,,,,,,,,,,O,O,,,,,,,,,,,,,,,,,,
Eddie Vanderdoes,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Wilber,,,,,,,,,,,,,O,Q,,,,,,,,,,,,,,,
Tyrell Williams,,,,,Q,O,Q,,,,,,,,,,16.0,27.0,WR,14.0,12.0,205.0,2020-06-04,Western Oregon,1992-02-12,4,5.0,,5000000.0
Daryl Worley,,,,,,,,,,,,,,Q,,,20.0,24.0,LCB,15.0,15.0,215.0,2020-06-01,West Virginia,1995-02-22,3,5.0,Carolina Panthers / 3rd / 77th pick / 2016,3095000.0
