Player ,09/10vs. SFO,09/17vs. BUF,09/24vs. NOR,10/01vs. NWE,10/08vs. DET,10/12vs. PHI,10/22vs. CHI,10/29vs. TAM,11/05vs. ATL,11/13vs. MIA,11/26vs. NYJ,12/03vs. NOR,12/10vs. MIN,12/17vs. GNB,12/24vs. TAM,12/31vs. ATL,01/07vs. NOR,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Daeshon Hall,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Drew Iddings,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Charles Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,95.0,31.0,LDE,12.0,11.0,270.0,2020-06-02,Georgia,1986-07-10,10,4.0,Carolina Panthers / 3rd / 83rd pick / 2007,1000000.0
Charles Johnson,,,,,,,Q,,,,,IR,IR,IR,IR,,IR,95.0,31.0,LDE,12.0,11.0,270.0,2020-06-02,Georgia,1986-07-10,10,4.0,Carolina Panthers / 3rd / 83rd pick / 2007,1000000.0
Matt Kalil,,,,,Q,,,,,,,,,,,,Q,75.0,28.0,LT,16.0,16.0,315.0,2020-06-07,USC,1989-07-06,5,8.0,Minnesota Vikings / 1st / 4th pick / 2012,1000000.0
Ryan Kalil,,,O,O,O,O,Q,O,O,O,Q,Q,Q,,,,,67.0,32.0,c,6.0,6.0,300.0,2020-06-02,USC,1985-03-29,10,3.0,Carolina Panthers / 2nd / 59th pick / 2007,3000000.0
Luke Kuechly,,,,,,,O,Q,,,,,,,,,,,,,,,,,,,,,,
Tyler Larsen,,,,,,,,,,,Q,,Q,Q,Q,,,69.0,26.0,C,14.0,10.0,325.0,2020-06-04,Utah St.,1991-07-08,1,5.0,,540000.0
Kyle Love,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Luke,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chris Manhertz,,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Dean Marlowe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Christian McCaffrey,,,,,,,,,,,,Q,,,,,,22.0,21.0,RB,16.0,10.0,205.0,2020-05-11,Stanford,1996-06-07,Rook,9.0,Carolina Panthers / 1st / 8th pick / 2017,465000.0
L.J. McCray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Captain Munnerlyn,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Cam Newton,Q,,Q,,,,,,,,,,,,,,,1.0,28.0,QB,16.0,16.0,245.0,2020-06-05,"Florida,Blinn College (TX),Auburn",1989-05-11,6,15.0,Carolina Panthers / 1st / 1st pick / 2011,13166666.0
Jared Norris,O,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Greg Olsen,,,IR,IR,IR,IR,IR,IR,IR,IR,,Q,Q,,,,,88.0,32.0,te,7.0,7.0,255.0,2020-06-05,Miami (FL),1985-03-11,10,2.0,Chicago Bears / 1st / 31st pick / 2007,6500000.0
Julius Peppers,,,,,Q,,,,,,,,,,,,,90.0,37.0,lde,16.0,5.0,295.0,2020-06-07,North Carolina,1980-01-18,15,4.0,Carolina Panthers / 1st / 2nd pick / 2002,1000000.0
Curtis Samuel,,,,O,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chris Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Russell Shepard,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
Scott Simonson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
John Theus,,,,,,,IR,IR,IR,IR,IR,O,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Shaq Thompson,,,,,,,,,,,,Q,O,O,Q,,,54.0,23.0,LLB,14.0,14.0,230.0,2000-06-01,Washington,1994-04-21,2,6.0,Carolina Panthers / 1st / 25th pick / 2015,1235793.0
Trai Turner,,,,,,,,,Q,,,,,O,O,Q,Q,,,,,,,,,,,,,
Greg Van Roten,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,
Fozzy Whittaker,,,,,,,O,O,Q,,,,,,,,,,,,,,,,,,,,,
Teddy Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Daryl Worley,,,,O,,,,,,,,,,,,,,26.0,22.0,RCB,15.0,14.0,215.0,2020-06-01,West Virginia,1995-02-22,1,6.0,Carolina Panthers / 3rd / 77th pick / 2016,560000.0
David Yankey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
