Player ,09/07vs. KAN,09/17vs. NOR,09/24vs. HOU,10/01vs. CAR,10/05vs. TAM,10/15vs. NYJ,10/22vs. ATL,10/29vs. LAC,11/12vs. DEN,11/19vs. OAK,11/26vs. MIA,12/03vs. BUF,12/11vs. MIA,12/17vs. PIT,12/24vs. BUF,12/31vs. NYJ,01/13vs. TEN,01/21vs. JAX,02/04vs. PHI,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Chris Hogan,,,Q,,,,,,O,O,O,O,Q,Q,Q,Q,,,,15.0,30.0,WR,9.0,7.0,210.0,2020-06-01,Monmouth,1987-10-24,6,5.0,,2500000.0
Jacob Hollister,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Jelks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cyrus Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jonathan Jones,,,,,,,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Brandon King,,,,Q,Q,,,,,,,,Q,Q,Q,,,,,,,,,,,,,,,,,
Harvey Langi,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eric Lee,,,,,,,,,,,,,,Q,Q,Q,Q,,,,,,,,,,,,,,,
Matt Lengel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,,,,,,,,,,,,,
Dion Lewis,,,,,,,,,,,,,Q,,,,,,,33.0,27.0,RB,16.0,8.0,195.0,2020-05-08,Pittsburgh,1990-09-27,6,11.0,Philadelphia Eagles / 5th / 149th pick / 2011,1200000.0
Cassius Marsh,,,,,,,,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,,
Shea McClellin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Devin McCourty,,Q,,,,,,,,,,,,,,Q,,,,32.0,30.0,FS,16.0,16.0,195.0,2020-05-10,Rutgers,1987-08-13,7,6.0,New England Patriots / 1st / 27th pick / 2010,6500000.0
Malcolm Mitchell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Trevor Reilly,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,
Derek Rivers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Elandon Roberts,,,Q,,Q,,Q,Q,,,,,,,,,,,,52.0,23.0,MLB,15.0,14.0,238.0,2000-06-01,Houston,1994-04-22,1,8.0,New England Patriots / 6th / 214th pick / 2016,540000.0
Eric Rowe,,,Q,Q,O,O,O,O,Q,Q,Q,Q,Q,,,,,,,,,,,,,,,,,,,
Matthew Slater,Q,O,Q,Q,Q,,,,,O,Q,Q,Q,Q,Q,Q,,,,,,,,,,,,,,,,
Vincent Valentine,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kyle Van Noy,,,,,,,,,,,,Q,O,Q,Q,Q,,,,53.0,26.0,LLB,13.0,12.0,250.0,2020-06-03,BYU,1991-03-26,3,7.0,Detroit Lions / 2nd / 40th pick / 2014,990741.0
LaAdrian Waddle,,,,,,,,,,,,Q,Q,Q,Q,Q,,Q,,,,,,,,,,,,,,
James White,,,,,,,,,,,,,,,Q,Q,Q,,,,,,,,,,,,,,,
