Player ,09/08vs. LAC,09/15vs. TEN,09/22vs. ATL,09/29vs. OAK,10/06vs. KAN,10/20vs. HOU,10/27vs. DEN,11/03vs. PIT,11/10vs. MIA,11/17vs. JAX,11/21vs. HOU,12/01vs. TEN,12/08vs. TAM,12/16vs. NOR,12/22vs. CAR,12/29vs. JAX,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Justin Houston,,,,,,Q,,Q,,,,,,,,,99.0,30.0,LDE,16.0,16.0,270.0,2020-06-03,Georgia,1989-01-21,8,8.0,Kansas City Chiefs / 3rd / 70th pick / 2011,1000000.0
Steve Ishmael,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Iseoluwapo Jegede,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Isaiah Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Marcus Johnson,IR,IR,,,,,,,,,,,,,,,83.0,25.0,WR,8.0,6.0,207.0,2020-06-01,Texas,1994-08-05,2,3.0,,570000.0
Darius Leonard,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,
Tyquan Lewis,,,,O,O,O,Q,,,,,,,,,,,,,,,,,,,,,,
Marlon Mack,,,Q,,Q,,,,,,O,O,,,,,25.0,23.0,RB,14.0,12.0,210.0,2000-06-01,South Florida,1996-03-07,2,8.0,Indianapolis Colts / 4th / 143rd pick / 2017,645000.0
Rolan Milligan,,,,,Q,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Kenny Moore,,,,,,O,Q,,,,,,O,O,O,Q,23.0,24.0,LCB,11.0,11.0,190.0,2020-05-09,Valdosta St.,1995-08-23,2,4.0,,645000.0
Al-Quadin Muhammad,,,,Q,,,,,,,,,,,,Q,,,,,,,,,,,,,
Kai Nacua,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Quenton Nelson,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,
Javon Patterson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chester Rogers,,,,,,,,,,,,,IR,IR,IR,IR,80.0,25.0,wr,12.0,6.0,184.0,2000-06-01,Grambling St.,1994-01-12,3,2.0,,3095000.0
Jabaal Sheard,O,O,O,Q,,,,,,,,,,,,,93.0,30.0,DE,13.0,12.0,268.0,2020-06-03,Pittsburgh,1989-05-10,8,5.0,Cleveland Browns / 2nd / 37th pick / 2011,7500000.0
Shakial Taylor,IR,,,,,,,,,,O,,,,,,,,,,,,,,,,,,
Ahmad Thomas,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemoko Turay,Q,D,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Adam Vinatieri,,,,,,,,,,,,,O,IR,IR,IR,,,,,,,,,,,,,
Anthony Walker,,,,,Q,,,,,,,,,,,,50.0,24.0,MLB,16.0,16.0,230.0,2020-06-01,Northwestern,1995-08-08,2,7.0,Indianapolis Colts / 5th / 161st pick / 2017,645000.0
Spencer Ware,PUP,PUP,PUP,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Wilkins,Q,,,,,,,,,Q,,,,,,O,,,,,,,,,,,,,
Jonathan Williams,O,O,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Khari Willis,,,,,,,,,,,O,Q,,,,D,37.0,23.0,SS,14.0,9.0,213.0,2020-05-11,Michigan St.,1996-05-07,Rook,3.0,Indianapolis Colts / 4th / 109th pick / 2019,495000.0
Quincy Wilson,,,,,,,,,Q,,,,,,O,O,,,,,,,,,,,,,
Rock Ya-Sin,,,,,Q,,,,,,Q,Q,Q,,,,34.0,23.0,LCB,15.0,13.0,192.0,2000-06-01,Temple,1996-05-23,Rook,5.0,Indianapolis Colts / 2nd / 34th pick / 2019,495000.0
