Player ,09/09vs. NOR,09/15vs. JAX,09/22vs. LAC,09/29vs. CAR,10/06vs. ATL,10/13vs. KAN,10/20vs. IND,10/27vs. OAK,11/03vs. JAX,11/17vs. BAL,11/21vs. IND,12/01vs. NWE,12/08vs. DEN,12/15vs. TEN,12/21vs. TAM,12/29vs. TEN,01/04vs. BUF,01/12vs. KAN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Senio Kelemete,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chris Landrum,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Greg Mancz,Q,Q,,,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,
Jacob Martin,,,,,,,,,,,,,,,O,Q,,,,,,,,,,,,,,,
Benardrick McKinney,,,,,,,,,,,,,,,O,,,,55.0,27.0,LILB,14.0,14.0,257.0,2020-06-04,Mississippi St.,1992-11-19,4,6.0,Houston Texans / 2nd / 43rd pick / 2015,6000000.0
Lamar Miller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Charles Omenihu,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Reid,,,,,,,,,,,O,,,,,,,,20.0,22.0,FS,15.0,15.0,203.0,2020-06-01,Stanford,1997-02-15,1,5.0,Houston Texans / 3rd / 68th pick / 2018,664979.0
Bradley Roby,,,,,,,Q,Q,O,Q,Q,,Q,,,Q,Q,,21.0,27.0,RCB,10.0,10.0,194.0,2020-05-11,Ohio St.,1992-05-01,5,4.0,Denver Broncos / 1st / 31st pick / 2014,5000000.0
Ira Savage-Lewis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brennan Scarlett,,,,,,,,,,,,Q,Q,Q,Q,,,,57.0,26.0,ROLB,15.0,10.0,263.0,2020-06-04,"California,Stanford",1993-07-31,3,5.0,,2025000.0
David Steinmetz,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kenny Stills,,,,,Q,Q,,,,,,,,,,Q,,Q,12.0,27.0,wr,13.0,5.0,202.0,2020-06-01,Oklahoma,1992-04-22,6,5.0,New Orleans Saints / 5th / 144th pick / 2013,7975000.0
Jordan Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,
Laremy Tunsil,,,Q,,,,,,Q,Q,,,,,,Q,,,,,,,,,,,,,,,
Kahale Warring,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Carlos Watkins,,,,,,,,,,,,O,Q,,,,,,,,,,,,,,,,,,
Deshaun Watson,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
J.J. Watt,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,99.0,30.0,LDE,8.0,8.0,288.0,2020-06-05,"Central Michigan,Wisconsin",1989-03-22,8,4.0,Houston Texans / 1st / 11th pick / 2011,13000000.0
Joe Webb,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Isaac Whitney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Xavier Woodson-Luster,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,
