Player ,09/10vs. ARI,09/18vs. NYG,09/24vs. ATL,10/01vs. MIN,10/08vs. CAR,10/15vs. NOR,10/29vs. PIT,11/06vs. GNB,11/12vs. CLE,11/19vs. CHI,11/23vs. MIN,12/03vs. BAL,12/10vs. TAM,12/16vs. CHI,12/24vs. CIN,12/31vs. GNB,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Greg Robinson,,,,,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,73.0,25.0,lt,6.0,6.0,330.0,2020-06-05,Auburn,1992-10-21,3,4.0,St. Louis Rams / 1st / 2nd pick / 2014,3322377.0
Ryan Spadola,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Matthew Stafford,,,,,,Q,,,,,,,Q,,,,9.0,29.0,QB,16.0,16.0,220.0,2020-06-03,Georgia,1988-02-07,8,14.0,Detroit Lions / 1st / 1st pick / 2009,1000000.0
Travis Swanson,,,Q,Q,Q,,,,,,,O,Q,IR,IR,IR,64.0,26.0,C,11.0,11.0,304.0,2020-06-05,Arkansas,1991-01-30,3,6.0,Detroit Lions / 3rd / 76th pick / 2014,1772000.0
Golden Tate,,,,,,,Q,,,,,,,,,,15.0,29.0,WR,16.0,12.0,197.0,2020-05-10,Notre Dame,1988-08-02,7,9.0,Seattle Seahawks / 2nd / 60th pick / 2010,6000000.0
Brandon Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ricky Wagner,,,,,Q,Q,,,,,,,O,O,Q,,71.0,28.0,RT,13.0,13.0,313.0,2020-06-06,Wisconsin,1989-10-21,4,8.0,Baltimore Ravens / 5th / 168th pick / 2013,3000000.0
Cornelius Washington,,,,,,IR,,,,,,,Q,,,,,,,,,,,,,,,,
Dwayne Washington,,,O,O,O,Q,,,,O,O,,,,,,,,,,,,,,,,,,
Tahir Whitehead,,,,,Q,,,,,,,,,,,,59.0,27.0,LLB,16.0,16.0,241.0,2020-06-02,Temple,1990-04-02,5,8.0,Detroit Lions / 5th / 138th pick / 2012,3050000.0
Tavon Wilson,,,O,Q,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Paul Worrilow,,,,,O,O,Q,,,,,,,,,,58.0,27.0,RLB,13.0,8.0,230.0,2000-06-01,Delaware,1990-05-01,4,4.0,,2000000.0
Anthony Zettel,,,,,,,,,,,,,,,,Q,69.0,25.0,LDE,16.0,16.0,275.0,2020-06-04,Penn St.,1992-08-09,1,7.0,Detroit Lions / 6th / 202nd pick / 2016,540000.0
