Player ,09/13vs. NYJ,09/20vs. TEN,09/27vs. OAK,10/04vs. SDG,10/11vs. BAL,10/18vs. DEN,10/25vs. STL,11/01vs. ARI,11/05vs. CIN,11/15vs. PIT,11/30vs. BAL,12/06vs. CIN,12/13vs. SFO,12/20vs. SEA,12/27vs. KAN,01/03vs. PIT,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Christian Kirksey,P,,,,,,,,,,,,,,,,58.0,23.0,rilb,16.0,5.0,235.0,2020-06-02,Iowa,1992-08-31,1,3.0,Cleveland Browns / 3rd / 71st pick / 2014,707625.0
Paul Kruger,,,,,,,,P,,,,,,,,,99.0,29.0,LOLB,16.0,15.0,285.0,2020-06-04,Utah,1986-02-15,6,5.0,Baltimore Ravens / 2nd / 57th pick / 2009,8200000.0
Alex Mack,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Johnny Manziel,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,O,2.0,23.0,qb,9.0,6.0,207.0,2000-06-01,Texas A&M,1992-12-06,1,4.0,Cleveland Browns / 1st / 22nd pick / 2014,1874681.0
Josh McCown,,O,P,P,,P,,Q,O,Q,P,IR,IR,IR,IR,IR,13.0,36.0,QB,8.0,8.0,218.0,2020-06-04,"SMU,Sam Houston St.",1979-07-04,13,5.0,Arizona Cardinals / 3rd / 81st pick / 2002,3916666.0
Barkevious Mingo,Q,,P,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlon Moore,P,,,,,Q,Q,P,,,,,Q,Q,Q,O,,,,,,,,,,,,,
Raheem Mostert,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Nate Orchard,Q,P,,,,,P,,Q,,Q,Q,,,,,44.0,22.0,ROLB,15.0,11.0,251.0,2020-06-03,Utah,1993-01-05,Rook,5.0,Cleveland Browns / 2nd / 51st pick / 2015,812055.0
Jordan Poyer,,,,,,,,O,O,Q,,,,,,,,,,,,,,,,,,,
Craig Robertson,,,,O,O,O,Q,Q,Q,,,,,,,,53.0,27.0,RILB,12.0,9.0,234.0,2020-06-01,North Texas,1988-02-11,4,4.0,,2356000.0
Mitchell Schwartz,P,P,P,P,P,P,,,,,,,,,,,72.0,26.0,RT,16.0,16.0,320.0,2020-06-05,California,1989-06-08,3,7.0,Cleveland Browns / 2nd / 37th pick / 2012,1645267.0
Connor Shaw,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Danny Shelton,,,,,,,Q,,,,,,,,,,71.0,22.0,NT,16.0,15.0,345.0,2020-06-02,Washington,1993-08-20,Rook,6.0,Cleveland Browns / 1st / 12th pick / 2015,2127939.0
Scott Solomon,,O,O,O,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Randy Starks,,,,,,,,,,,O,Q,,,,,94.0,32.0,LDT,15.0,15.0,305.0,2020-06-04,Maryland,1983-12-14,11,6.0,Tennessee Titans / 3rd / 71st pick / 2004,2968750.0
Randall Telfer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Joe Thomas,,,,,,,,,,,,,,P,Q,Q,,,,,,,,,,,,,
Robert Turbin,O,O,O,O,Q,Q,,,,,,,,,,,,,,,,,,,,,,,
Donte Whitner,,,,,P,,,,O,O,P,,,,,,31.0,30.0,SS,14.0,14.0,208.0,2020-05-10,Ohio St.,1985-07-24,9,4.0,Buffalo Bills / 1st / 8th pick / 2006,6750000.0
K'Waun Williams,Q,,O,O,P,,,P,,,,,,Q,Q,Q,36.0,24.0,db,13.0,6.0,185.0,2020-05-09,Pittsburgh,1991-07-12,1,3.0,,510000.0
Tramon Williams,,,,,,,,,,,,,,,,O,22.0,32.0,RCB,15.0,15.0,191.0,2020-05-11,Louisiana Tech,1983-03-16,8,5.0,,6500000.0
Glenn Winston,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,,O,O,O,,,,,,,,,,,,,
