Player ,09/13vs. SFO,09/20vs. WAS,09/27vs. DET,10/04vs. CAR,10/11vs. NYJ,10/19vs. DAL,10/25vs. SEA,11/08vs. MIA,11/15vs. BUF,11/19vs. SEA,11/29vs. NWE,12/06vs. LAR,12/13vs. NYG,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Isaiah Irving,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chandler Jones,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh Jones,O,Q,,,,,,,,,,,,79.0,23.0,OL,10.0,0.0,319.0,2020-06-05,Houston,1997-06-22,Rook,,Arizona Cardinals / 3rd / 72nd pick / 2020,610000.0
Johnathan Joseph,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Devon Kennard,,,,Q,O,Q,,C19,C19,,,,,42.0,29.0,OLB,10.0,4.0,256.0,2020-06-03,USC,1991-06-24,6,,New York Giants / 5th / 174th pick / 2014,1000000.0
Christian Kirk,,,O,Q,,,,,,,,,,13.0,24.0,WR,12.0,10.0,200.0,2020-05-11,Texas A&M,1996-11-18,2,,Arizona Cardinals / 2nd / 47th pick / 2018,1015897.0
Dre Kirkpatrick,,,Q,Q,,,Q,O,Q,,,,,20.0,31.0,CB,12.0,9.0,190.0,2020-06-02,Alabama,1989-10-26,8,,Cincinnati Bengals / 1st / 17th pick / 2012,1050000.0
Rashard Lawrence,,,,,,IR,IR,IR,IR,IR,IR,,,92.0,22.0,DL,6.0,0.0,308.0,2020-06-02,LSU,1998-08-27,Rook,,Arizona Cardinals / 4th / 131st pick / 2020,461763.0
Josh Mauro,,,,,,,,,,,O,IR,IR,,,,,,,,,,,,,
Byron Murphy,,,,,,,,C19,C19,,,,,33.0,22.0,CB,12.0,6.0,190.0,2020-05-11,Washington,1998-01-18,1,,Arizona Cardinals / 2nd / 33rd pick / 2019,858159.0
Justin Murray,,,,,,,,,O,O,Q,,,71.0,27.0,T,10.0,4.0,315.0,2020-06-05,Cincinnati,1993-04-19,2,,,750000.0
Corey Peters,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Kevin Peterson,,,,,,,,,IR,IR,IR,IR,IR,27.0,26.0,CB,9.0,1.0,185.0,2020-05-11,Oklahoma St.,1994-03-22,3,,,750000.0
Jordan Phillips,,,Q,,Q,,Q,Q,O,O,IR,IR,IR,97.0,28.0,DT,9.0,9.0,341.0,2020-06-06,Oklahoma,1992-09-21,5,,Miami Dolphins / 2nd / 52nd pick / 2015,2000000.0
Trent Sherfield,,,,,,,,,,,C19,,,16.0,24.0,WR,12.0,0.0,219.0,2020-06-01,Vanderbilt,1996-02-26,2,,,750000.0
J.R. Sweezy,,,,,,IR,IR,IR,IR,,,,,64.0,31.0,G,10.0,9.0,310.0,2020-06-05,North Carolina St.,1989-04-08,8,,Seattle Seahawks / 7th / 225th pick / 2012,3500000.0
Deionte Thompson,,,,,,,,,Q,,C19,C19,,22.0,23.0,S,10.0,4.0,195.0,2020-06-01,Alabama,1997-02-11,1,,Arizona Cardinals / 5th / 139th pick / 2019,675000.0
Jalen Thompson,,IR,IR,IR,IR,IR,IR,IR,,,O,,,,,,,,,,,,,,,
Brett Toth,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,
Zeke Turner,,,,,,,,Q,,,,,,47.0,24.0,S,13.0,0.0,214.0,2020-06-02,Washington,1996-06-09,2,,,
Tanner Vallejo,,,,Q,,,,,,,,,,51.0,26.0,ILB,13.0,0.0,230.0,2020-06-01,Boise St.,1994-12-16,3,,Buffalo Bills / 6th / 195th pick / 2017,825000.0
Charles Washington,,,,,,,,,,Q,Q,,,28.0,27.0,DB,12.0,0.0,192.0,2020-05-10,Fresno St.,1993-03-10,3,,,825000.0
Maxx Williams,,O,IR,IR,IR,IR,IR,IR,Q,Q,,,,87.0,26.0,TE,7.0,6.0,252.0,2020-06-04,Minnesota,1994-04-12,5,,Baltimore Ravens / 2nd / 55th pick / 2015,2850000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Zastudil,,,,P,P,,,,,,,,,,,,,,,,,,,,,
